Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score,BMI,combined_data,label
David Pastrnak,pastrda01,BOS,RW,6.2,72,188,1.4573841600642128,25.494598765432098,1.45738416006421_72_188_25.4945987654321,7
Tim Schaller,schalti01,BOS,C,6.2,74,210,1.4573841600642128,26.95945945945946,1.45738416006421_74_210_26.9594594594595,7
Matt Grzelcyk,grzelma01,BOS,D,6.1,69,174,1.4328990214914707,25.692501575299307,1.43289902149147_69_174_25.6925015752993,7
Kevin Labanc,labanke01,SJS,RW,6.1,71,185,1.4328990214914707,25.799444554651856,1.43289902149147_71_185_25.7994445546519,7
David Backes,backeda01,BOS,RW,6.1,75,221,1.4328990214914707,27.62008888888889,1.43289902149147_75_221_27.6200888888889,7
Kevin Fiala,fialake01,NSH,LW,6,70,193,1.408413882918729,27.689591836734692,1.40841388291873_70_193_27.6895918367347,7
Mikhail Sergachev,sergami01,TBL,D,6,75,215,1.408413882918729,26.87022222222222,1.40841388291873_75_215_26.8702222222222,7
Artemi Panarin,panarar01,CBJ,LW,5.9,71,168,1.3839287443459871,23.42868478476493,1.38392874434599_71_168_23.4286847847649,7
Riley Nash,nashri02,BOS,C,5.9,73,190,1.3839287443459871,25.064740101332333,1.38392874434599_73_190_25.0647401013323,7
Will Butcher,butchwi01,NJD,D,5.8,70,190,1.359443605773245,27.259183673469387,1.35944360577325_70_190_27.2591836734694,7
Derek Ryan,ryande01,CAR,C,5.8,71,170,1.359443605773245,23.70759769886927,1.35944360577325_71_170_23.7075976988693,7
Ondrej Palat,palaton01,TBL,LW,5.8,72,188,1.359443605773245,25.494598765432098,1.35944360577325_72_188_25.4945987654321,7
Vince Dunn,dunnvi02,STL,D,5.8,72,203,1.359443605773245,27.528742283950617,1.35944360577325_72_203_27.5287422839506,7
Victor Mete,metevi01,MTL,D,5.7,69,184,1.3349584672005033,27.169082125603865,1.3349584672005_69_184_27.1690821256039,7
Aleksander Barkov,barkoal01,FLA,C,5.7,75,213,1.3349584672005033,26.620266666666666,1.3349584672005_75_213_26.6202666666667,7
Jeff Skinner,skinnje01,CAR,LW,5.6,71,200,1.310473328627761,27.891291410434437,1.31047332862776_71_200_27.8912914104344,6
