Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score,BMI,combined_data,label
Taylor Leier,leierta01,PHI,LW,2,71,180,0.42900834000905164,25.102162269390995,0.429008340009052_71_180_25.102162269391,5
P.K. Subban,subbapk01,NSH,D,2,72,210,0.42900834000905164,28.47800925925926,0.429008340009052_72_210_28.4780092592593,5
Dustin Byfuglien,byfugdu01,WPG,D,2,77,260,0.42900834000905164,30.828132906054982,0.429008340009052_77_260_30.828132906055,5
Jakub Jerabek,jerabja01,MTL,D,1.9,71,200,0.40452320143630965,27.891291410434437,0.40452320143631_71_200_27.8912914104344,5
Dominic Moore,mooredo01,TOR,C,1.9,72,192,0.40452320143630965,26.037037037037038,0.40452320143631_72_192_26.037037037037,5
Mikko Rantanen,rantami01,COL,RW,1.9,76,211,0.40452320143630965,25.68092105263158,0.40452320143631_76_211_25.6809210526316,5
Alex Biega,biegaal01,VAN,D,1.8,70,193,0.3800380628635678,27.689591836734692,0.380038062863568_70_193_27.6895918367347,5
Jake Guentzel,guentja01,PIT,C,1.8,71,180,0.3800380628635678,25.102162269390995,0.380038062863568_71_180_25.102162269391,5
Gustav Nyquist,nyquigu01,DET,RW,1.8,71,184,0.3800380628635678,25.659988097599683,0.380038062863568_71_184_25.6599880975997,5
Lukas Sedlak,sedlalu01,CBJ,LW,1.8,72,205,0.3800380628635678,27.799961419753085,0.380038062863568_72_205_27.7999614197531,5
Michael Frolik,frolimi01,CGY,RW,1.8,73,194,0.3800380628635678,25.59241884030775,0.380038062863568_73_194_25.5924188403078,5
Jordie Benn,bennjo01,MTL,D,1.8,74,198,0.3800380628635678,25.41891891891892,0.380038062863568_74_198_25.4189189189189,5
Nino Niederreiter,niedeni01,MIN,RW,1.8,74,216,0.3800380628635678,27.72972972972973,0.380038062863568_74_216_27.7297297297297,5
Charlie Coyle,coylech01,MIN,C,1.8,75,221,0.3800380628635678,27.62008888888889,0.380038062863568_75_221_27.6200888888889,5
Dmitry Orlov,orlovdm01,WSH,D,1.7,71,212,0.3555529242908258,29.564768895060503,0.355552924290826_71_212_29.5647688950605,5
Radko Gudas,gudasra01,PHI,D,1.7,72,204,0.3555529242908258,27.66435185185185,0.355552924290826_72_204_27.6643518518519,5
Daniel Sedin,sedinda01,VAN,LW,1.7,73,190,0.3555529242908258,25.064740101332333,0.355552924290826_73_190_25.0647401013323,5
Colin Wilson,wilsoco01,COL,C,1.7,73,221,0.3555529242908258,29.154250328391818,0.355552924290826_73_221_29.1542503283918,5
Micheal Ferland,ferlami01,CGY,LW,1.7,74,208,0.3555529242908258,26.7027027027027,0.355552924290826_74_208_26.7027027027027,5
Erik Haula,haulaer01,VEG,LW,1.6,72,193,0.33106778571808393,26.172646604938272,0.331067785718084_72_193_26.1726466049383,5
Vladimir Tarasenko,tarasvl01,STL,RW,1.6,72,225,0.33106778571808393,30.51215277777778,0.331067785718084_72_225_30.5121527777778,5
Michael Grabner,grabnmi01,NYR,RW,1.6,73,188,0.33106778571808393,24.800900731844624,0.331067785718084_73_188_24.8009007318446,5
Mark Scheifele,scheima01,WPG,C,1.6,75,207,0.33106778571808393,25.8704,0.331067785718084_75_207_25.8704,5
Brandon Manning,mannibr01,PHI,D,1.5,73,205,0.30658264714534195,27.043535372490147,0.306582647145342_73_205_27.0435353724901,5
Greg Pateryn,patergr01,DAL,D,1.5,75,224,0.30658264714534195,27.99502222222222,0.306582647145342_75_224_27.9950222222222,5
Chad Ruhwedel,ruhwech01,PIT,D,1.4,71,191,0.2820975085726,26.636183296964887,0.2820975085726_71_191_26.6361832969649,5
Oliver Bjorkstrand,bjorkol01,CBJ,RW,1.4,72,177,0.2820975085726,24.00289351851852,0.2820975085726_72_177_24.0028935185185,5
Sam Reinhart,reinhsa01,BUF,C,1.4,73,192,0.2820975085726,25.328579470820042,0.2820975085726_73_192_25.32857947082,5
Mikael Backlund,backlmi01,CGY,C,1.4,73,199,0.2820975085726,26.25201726402702,0.2820975085726_73_199_26.252017264027,5
Dmitry Kulikov,kulikdm01,WPG,D,1.4,73,204,0.2820975085726,26.911615687746295,0.2820975085726_73_204_26.9116156877463,5
Ian Cole,coleia01,PIT,D,1.4,73,219,0.2820975085726,28.89041095890411,0.2820975085726_73_219_28.8904109589041,5
Kyle Brodziak,brodzky01,STL,C,1.4,74,209,0.2820975085726,26.83108108108108,0.2820975085726_74_209_26.8310810810811,5
James van Riemsdyk,vanrija01,TOR,LW,1.4,75,217,0.2820975085726,27.120177777777776,0.2820975085726_75_217_27.1201777777778,5
Matt Hunwick,hunwima01,PIT,D,1.3,71,200,0.2576123699998581,27.891291410434437,0.257612369999858_71_200_27.8912914104344,5
Marcus Kruger,krugema01,CAR,C,1.3,72,186,0.2576123699998581,25.22337962962963,0.257612369999858_72_186_25.2233796296296,5
Oscar Lindberg,lindbos02,VEG,C,1.3,73,202,0.2576123699998581,26.647776318258586,0.257612369999858_73_202_26.6477763182586,5
Slater Koekkoek,koekksl01,TBL,D,1.3,74,193,0.2576123699998581,24.777027027027028,0.257612369999858_74_193_24.777027027027,5
Brady Skjei,skjeibr01,NYR,D,1.3,75,211,0.2576123699998581,26.37031111111111,0.257612369999858_75_211_26.3703111111111,5
Frank Vatrano,vatrafr01,BOS,C,1.2,69,201,0.23312723142711617,29.679269061121612,0.233127231427116_69_201_29.6792690611216,5
Christian Djoos,djoosch01,WSH,D,1.2,72,169,0.23312723142711617,22.918016975308642,0.233127231427116_72_169_22.9180169753086,5
Brian Gibbons,gibbobr02,NJD,LW,1.1,68,175,0.20864209285437427,26.60575259515571,0.208642092854374_68_175_26.6057525951557,5
Andy Greene,greenan01,NJD,D,1.1,71,190,0.20864209285437427,26.496726839912714,0.208642092854374_71_190_26.4967268399127,5
Pierre-Edouard Bellemare,bellepi01,VEG,LW,1.1,72,198,0.20864209285437427,26.850694444444443,0.208642092854374_72_198_26.8506944444444,5
Sam Bennett,bennesa01,CGY,C,1.1,73,200,0.20864209285437427,26.383936948770877,0.208642092854374_73_200_26.3839369487709,5
Mark Pysyk,pysykma01,FLA,D,1.1,73,200,0.20864209285437427,26.383936948770877,0.208642092854374_73_200_26.3839369487709,5
Blake Wheeler,wheelbl01,WPG,RW,1.1,77,225,0.20864209285437427,26.678191937932198,0.208642092854374_77_225_26.6781919379322,5
Yohann Auvitu,auvityo01,EDM,D,1,71,187,0.1841569542816323,26.0783574687562,0.184156954281632_71_187_26.0783574687562,5
Pavel Buchnevich,buchnpa01,NYR,RW,1,74,191,0.1841569542816323,24.52027027027027,0.184156954281632_74_191_24.5202702702703,5
Ryan Spooner,spoonry01,BOS,C,0.9,70,187,0.15967181570889039,26.828775510204082,0.15967181570889_70_187_26.8287755102041,5
Torrey Mitchell,mitchto01,TOT,C,0.9,71,186,0.15967181570889039,25.938901011704026,0.15967181570889_71_186_25.938901011704,5
Jason Demers,demerja01,ARI,D,0.9,73,195,0.15967181570889039,25.724338525051603,0.15967181570889_73_195_25.7243385250516,5
Brett Kulak,kulakbr01,CGY,D,0.9,74,187,0.15967181570889039,24.006756756756758,0.15967181570889_74_187_24.0067567567568,5
Brad Hunt,huntbr01,VEG,D,0.8,69,187,0.13518667713614846,27.612056290695232,0.135186677136148_69_187_27.6120562906952,5
Travis Konecny,konectr01,PHI,C,0.8,70,175,0.13518667713614846,25.107142857142858,0.135186677136148_70_175_25.1071428571429,5
Tommy Wingels,wingeto01,CHI,RW,0.8,72,200,0.13518667713614846,27.121913580246915,0.135186677136148_72_200_27.1219135802469,5
Patrick Sharp,sharppa01,CHI,LW,0.8,73,200,0.13518667713614846,26.383936948770877,0.135186677136148_73_200_26.3839369487709,5
Jeff Petry,petryje01,MTL,D,0.8,75,208,0.13518667713614846,25.99537777777778,0.135186677136148_75_208_25.9953777777778,5
Brian Dumoulin,dumoubr01,PIT,D,0.8,76,207,0.13518667713614846,25.19407894736842,0.135186677136148_76_207_25.1940789473684,5
Alex DeBrincat,debrial01,CHI,RW,0.7,67,165,0.1107015385634065,25.83983069725997,0.110701538563407_67_165_25.83983069726,5
Cam Atkinson,atkinca01,CBJ,RW,0.7,68,179,0.1107015385634065,27.213884083044984,0.110701538563407_68_179_27.213884083045,5
Joakim Ryan,ryanjo02,SJS,D,0.7,71,185,0.1107015385634065,25.799444554651856,0.110701538563407_71_185_25.7994445546519,5
Jussi Jokinen,jokinju01,TOT,LW,0.7,72,191,0.1107015385634065,25.901427469135804,0.110701538563407_72_191_25.9014274691358,5
Erik Karlsson,karlser01,OTT,D,0.7,72,191,0.1107015385634065,25.901427469135804,0.110701538563407_72_191_25.9014274691358,5
Richard Panik,panikri01,TOT,RW,0.7,73,208,0.1107015385634065,27.439294426721712,0.110701538563407_73_208_27.4392944267217,5
Victor Rask,raskvi01,CAR,C,0.7,74,200,0.1107015385634065,25.675675675675677,0.110701538563407_74_200_25.6756756756757,5
Jakub Voracek,voracja01,PHI,RW,0.7,74,214,0.1107015385634065,27.472972972972972,0.110701538563407_74_214_27.472972972973,5
Leo Komarov,komarle01,TOR,C,0.6,71,209,0.08621639999066458,29.146399523903987,0.0862163999906646_71_209_29.146399523904,5
Chris Kunitz,kunitch01,TBL,LW,0.6,72,195,0.08621639999066458,26.44386574074074,0.0862163999906646_72_195_26.4438657407407,5
Josh Jooris,joorijo01,CAR,RW,0.6,73,197,0.08621639999066458,25.988177894539312,0.0862163999906646_73_197_25.9881778945393,5
Matt Benning,bennima01,EDM,D,0.6,73,204,0.08621639999066458,26.911615687746295,0.0862163999906646_73_204_26.9116156877463,5
Dan Hamhuis,hamhuda01,DAL,D,0.6,73,204,0.08621639999066458,26.911615687746295,0.0862163999906646_73_204_26.9116156877463,5
Deryk Engelland,engelde01,VEG,D,0.6,74,214,0.08621639999066458,27.472972972972972,0.0862163999906646_74_214_27.472972972973,5
Jason Spezza,spezzja01,DAL,C,0.6,75,214,0.08621639999066458,26.745244444444445,0.0862163999906646_75_214_26.7452444444444,5
Shawn Matthias,matthsh01,WPG,LW,0.6,76,231,0.08621639999066458,28.11513157894737,0.0862163999906646_76_231_28.1151315789474,5
Bryan Rust,rustbr01,PIT,RW,0.5,71,192,0.06173126141792265,26.77563975401706,0.0617312614179227_71_192_26.7756397540171,5
Milan Lucic,lucicmi01,EDM,LW,0.5,75,236,0.06173126141792265,29.494755555555557,0.0617312614179227_75_236_29.4947555555556,5
Joe Thornton,thornjo01,SJS,C,0.5,76,220,0.06173126141792265,26.776315789473685,0.0617312614179227_76_220_26.7763157894737,5
Joe Pavelski,paveljo01,SJS,C,0.4,71,195,0.03724612284518073,27.194009125173576,0.0372461228451807_71_195_27.1940091251736,5
Greg McKegg,mckeggr01,PIT,C,0.4,72,191,0.03724612284518073,25.901427469135804,0.0372461228451807_72_191_25.9014274691358,5
Scott Laughton,laughsc01,PHI,C,0.4,73,190,0.03724612284518073,25.064740101332333,0.0372461228451807_73_190_25.0647401013323,5
John Moore,moorejo01,NJD,D,0.4,74,210,0.03724612284518073,26.95945945945946,0.0372461228451807_74_210_26.9594594594595,5
Hampus Lindholm,lindhha01,ANA,D,0.4,75,208,0.03724612284518073,25.99537777777778,0.0372461228451807_75_208_25.9953777777778,5
Eric Gryba,grybaer01,EDM,D,0.4,76,222,0.03724612284518073,27.019736842105264,0.0372461228451807_76_222_27.0197368421053,5
Nikolaj Ehlers,ehlerni01,WPG,LW,0.3,72,172,0.01276098427243879,23.324845679012345,0.0127609842724388_72_172_23.3248456790123,4
Jason Pominville,pominja01,BUF,RW,0.3,72,180,0.01276098427243879,24.40972222222222,0.0127609842724388_72_180_24.4097222222222,4
Phil Kessel,kesseph01,PIT,RW,0.3,72,202,0.01276098427243879,27.393132716049383,0.0127609842724388_72_202_27.3931327160494,4
Marian Gaborik,gaborma01,LAK,RW,0.3,73,200,0.01276098427243879,26.383936948770877,0.0127609842724388_73_200_26.3839369487709,4
Filip Forsberg,forsbfi01,NSH,LW,0.3,73,205,0.01276098427243879,27.043535372490147,0.0127609842724388_73_205_27.0435353724901,4
Miles Wood,woodmi01,NJD,LW,0.3,74,195,0.01276098427243879,25.033783783783782,0.0127609842724388_74_195_25.0337837837838,4
Nick Holden,holdeni01,NYR,D,0.3,76,214,0.01276098427243879,26.04605263157895,0.0127609842724388_76_214_26.0460526315789,4
Toby Enstrom,enstrto01,WPG,D,0.2,70,180,-0.011724154300303135,25.824489795918367,-0.0117241543003031_70_180_25.8244897959184,4
Niklas Kronwall,kronwni01,DET,D,0.2,72,194,-0.011724154300303135,26.308256172839506,-0.0117241543003031_72_194_26.3082561728395,4
Sonny Milano,milanso01,CBJ,LW,0.2,72,195,-0.011724154300303135,26.44386574074074,-0.0117241543003031_72_195_26.4438657407407,4
Joel Eriksson Ek,eriksjo02,MIN,LW,0.2,73,206,-0.011724154300303135,27.175455057234004,-0.0117241543003031_73_206_27.175455057234,4
Tomas Nosek,nosekto01,VEG,LW,0.2,75,210,-0.011724154300303135,26.245333333333335,-0.0117241543003031_75_210_26.2453333333333,4
Ian McCoshen,mccosia01,FLA,D,0.2,75,217,-0.011724154300303135,27.120177777777776,-0.0117241543003031_75_217_27.1201777777778,4
John Hayden,haydejo01,CHI,RW,0.2,75,223,-0.011724154300303135,27.870044444444446,-0.0117241543003031_75_223_27.8700444444444,4
Erik Johnson,johnser01,COL,D,0.2,76,225,-0.011724154300303135,27.38486842105263,-0.0117241543003031_76_225_27.3848684210526,4
Mikkel Boedker,boedkmi01,SJS,LW,0.1,72,210,-0.03620929287304507,28.47800925925926,-0.0362092928730451_72_210_28.4780092592593,4
Nathan Beaulieu,beaulna01,BUF,D,0.1,74,200,-0.03620929287304507,25.675675675675677,-0.0362092928730451_74_200_25.6756756756757,4
Kevin Hayes,hayeske01,NYR,RW,0.1,77,217,-0.03620929287304507,25.729634002361276,-0.0362092928730451_77_217_25.7296340023613,4
Sebastian Aho,ahose01,CAR,RW,0,71,172,-0.060694431445787,23.986510612973618,-0.060694431445787_71_172_23.9865106129736,4
MacKenzie Weegar,weegama01,FLA,D,0,72,212,-0.060694431445787,28.749228395061728,-0.060694431445787_72_212_28.7492283950617,4
Andrew MacDonald,macdoan01,PHI,D,0,73,204,-0.060694431445787,26.911615687746295,-0.060694431445787_73_204_26.9116156877463,4
Nicolas Deslauriers,deslani01,MTL,LW,0,73,215,-0.060694431445787,28.36273221992869,-0.060694431445787_73_215_28.3627322199287,4
Nikita Zaitsev,zaitsni01,TOR,D,0,74,195,-0.060694431445787,25.033783783783782,-0.060694431445787_74_195_25.0337837837838,4
Ron Hainsey,hainsro01,TOR,D,0,75,205,-0.060694431445787,25.620444444444445,-0.060694431445787_75_205_25.6204444444444,4
Jonas Brodin,brodijo01,MIN,D,-0.1,73,194,-0.08517957001852894,25.59241884030775,-0.0851795700185289_73_194_25.5924188403078,4
Ryan Strome,stromry01,EDM,RW,-0.1,73,194,-0.08517957001852894,25.59241884030775,-0.0851795700185289_73_194_25.5924188403078,4
Markus Hannikainen,hannima01,CBJ,LW,-0.1,73,200,-0.08517957001852894,26.383936948770877,-0.0851795700185289_73_200_26.3839369487709,4
Johnny Boychuk,boychjo01,NYI,D,-0.1,74,227,-0.08517957001852894,29.14189189189189,-0.0851795700185289_74_227_29.1418918918919,4
Cody Eakin,eakinco01,VEG,C,-0.2,72,190,-0.10966470859127087,25.765817901234566,-0.109664708591271_72_190_25.7658179012346,4
Michal Kempny,kempnmi01,CHI,D,-0.2,72,194,-0.10966470859127087,26.308256172839506,-0.109664708591271_72_194_26.3082561728395,4
Tanner Pearson,pearsta01,LAK,LW,-0.2,73,201,-0.10966470859127087,26.51585663351473,-0.109664708591271_73_201_26.5158566335147,4
Drew Stafford,staffdr01,NJD,RW,-0.2,74,215,-0.10966470859127087,27.60135135135135,-0.109664708591271_74_215_27.6013513513514,4
Jaccob Slavin,slavija01,CAR,D,-0.2,75,205,-0.10966470859127087,25.620444444444445,-0.109664708591271_75_205_25.6204444444444,4
Jamie Oleksiak,oleksja01,TOT,D,-0.2,79,255,-0.10966470859127087,28.723762217593336,-0.109664708591271_79_255_28.7237622175933,4
Anthony Beauvillier,beauvan01,NYI,LW,-0.3,71,182,-0.1341498471640128,25.381075183495337,-0.134149847164013_71_182_25.3810751834953,4
Brandon Dubinsky,dubinbr01,CBJ,C,-0.3,74,205,-0.1341498471640128,26.31756756756757,-0.134149847164013_74_205_26.3175675675676,4
Chris Stewart,stewach02,MIN,RW,-0.3,74,242,-0.1341498471640128,31.06756756756757,-0.134149847164013_74_242_31.0675675675676,4
Chris Kreider,kreidch01,NYR,LW,-0.3,75,224,-0.1341498471640128,27.99502222222222,-0.134149847164013_75_224_27.9950222222222,4
Nick Bjugstad,bjugsni01,FLA,C,-0.3,78,218,-0.1341498471640128,25.189677843524,-0.134149847164013_78_218_25.189677843524,4
Brad Richardson,richabr02,ARI,C,-0.4,72,190,-0.15863498573675475,25.765817901234566,-0.158634985736755_72_190_25.7658179012346,4
David Perron,perroda01,VEG,LW,-0.4,72,200,-0.15863498573675475,27.121913580246915,-0.158634985736755_72_200_27.1219135802469,4
Adam Larsson,larssad01,EDM,D,-0.4,75,210,-0.15863498573675475,26.245333333333335,-0.158634985736755_75_210_26.2453333333333,4
Michael Stone,stonemi01,CGY,D,-0.4,75,210,-0.15863498573675475,26.245333333333335,-0.158634985736755_75_210_26.2453333333333,4
Kyle Palmieri,palmiky01,NJD,RW,-0.5,71,185,-0.18312012430949667,25.799444554651856,-0.183120124309497_71_185_25.7994445546519,4
Tyler Toffoli,toffoty01,LAK,C,-0.5,72,197,-0.18312012430949667,26.71508487654321,-0.183120124309497_72_197_26.7150848765432,4
Ryan Carpenter,carpery01,TOT,C,-0.5,72,200,-0.18312012430949667,27.121913580246915,-0.183120124309497_72_200_27.1219135802469,4
Scottie Upshall,upshasc01,STL,RW,-0.5,72,200,-0.18312012430949667,27.121913580246915,-0.183120124309497_72_200_27.1219135802469,4
Chandler Stephenson,stephch02,WSH,C,-0.5,72,203,-0.18312012430949667,27.528742283950617,-0.183120124309497_72_203_27.5287422839506,4
Trevor Lewis,lewistr01,LAK,C,-0.5,73,205,-0.18312012430949667,27.043535372490147,-0.183120124309497_73_205_27.0435353724901,4
Carter Rowney,rowneca01,PIT,RW,-0.5,74,200,-0.18312012430949667,25.675675675675677,-0.183120124309497_74_200_25.6756756756757,4
Jack Eichel,eicheja01,BUF,C,-0.5,74,206,-0.18312012430949667,26.445945945945947,-0.183120124309497_74_206_26.4459459459459,4
Magnus Paajarvi,paajama01,STL,LW,-0.5,75,206,-0.18312012430949667,25.74542222222222,-0.183120124309497_75_206_25.7454222222222,4
Riley Sheahan,sheahri01,TOT,C,-0.5,75,214,-0.18312012430949667,26.745244444444445,-0.183120124309497_75_214_26.7452444444444,4
Tyler Ennis,ennisty01,MIN,LW,-0.6,69,161,-0.2076052628822386,23.77294685990338,-0.207605262882239_69_161_23.7729468599034,4
Vladimir Sobotka,sobotvl01,STL,LW,-0.6,70,184,-0.2076052628822386,26.398367346938777,-0.207605262882239_70_184_26.3983673469388,4
Joel Edmundson,edmunjo01,STL,D,-0.6,76,215,-0.2076052628822386,26.167763157894736,-0.207605262882239_76_215_26.1677631578947,4
Patrik Laine,lainepa01,WPG,RW,-0.6,77,206,-0.2076052628822386,24.425366840951256,-0.207605262882239_77_206_24.4253668409513,4
Jordan Oesterle,oestejo01,CHI,D,-0.7,72,182,-0.23209040145498053,24.68094135802469,-0.232090401454981_72_182_24.6809413580247,4
Zemgus Girgensons,girgeze01,BUF,C,-0.7,74,207,-0.23209040145498053,26.574324324324323,-0.232090401454981_74_207_26.5743243243243,4
Nick Ritchie,ritchni01,ANA,LW,-0.7,74,234,-0.23209040145498053,30.04054054054054,-0.232090401454981_74_234_30.0405405405405,4
Karl Alzner,alzneka01,MTL,D,-0.7,75,217,-0.23209040145498053,27.120177777777776,-0.232090401454981_75_217_27.1201777777778,4
Marc Staal,staalma01,NYR,D,-0.7,76,209,-0.23209040145498053,25.4375,-0.232090401454981_76_209_25.4375,4
Nikita Zadorov,zadorni01,COL,D,-0.7,77,230,-0.23209040145498053,27.271040647664023,-0.232090401454981_77_230_27.271040647664,4
Vincent Trocheck,trochvi01,FLA,C,-0.8,70,182,-0.2565755400277225,26.111428571428572,-0.256575540027722_70_182_26.1114285714286,4
Shayne Gostisbehere,gostish01,PHI,D,-0.8,71,180,-0.2565755400277225,25.102162269390995,-0.256575540027722_71_180_25.102162269391,4
Ryan Dzingel,dzingry01,OTT,LW,-0.8,72,190,-0.2565755400277225,25.765817901234566,-0.256575540027722_72_190_25.7658179012346,4
Calvin de Haan,dehaaca01,NYI,D,-0.8,73,198,-0.2565755400277225,26.12009757928317,-0.256575540027722_73_198_26.1200975792832,4
Loui Eriksson,erikslo01,VAN,LW,-0.8,74,196,-0.2565755400277225,25.16216216216216,-0.256575540027722_74_196_25.1621621621622,4
Luca Sbisa,sbisalu01,VEG,D,-0.8,74,209,-0.2565755400277225,26.83108108108108,-0.256575540027722_74_209_26.8310810810811,4
Jordan Weal,wealjo01,PHI,C,-0.9,70,179,-0.28106067860046435,25.681020408163267,-0.281060678600464_70_179_25.6810204081633,4
Nick Cousins,cousini01,ARI,C,-0.9,71,185,-0.28106067860046435,25.799444554651856,-0.281060678600464_71_185_25.7994445546519,4
Joseph Morrow,morrojo02,MTL,D,-0.9,72,196,-0.28106067860046435,26.579475308641975,-0.281060678600464_72_196_26.579475308642,4
Nathan MacKinnon,mackina01,COL,C,-0.9,72,205,-0.28106067860046435,27.799961419753085,-0.281060678600464_72_205_27.7999614197531,4
Oscar Fantenberg,fanteos01,LAK,D,-0.9,72,210,-0.28106067860046435,28.47800925925926,-0.281060678600464_72_210_28.4780092592593,4
Nick Shore,shoreni01,LAK,C,-0.9,73,195,-0.28106067860046435,25.724338525051603,-0.281060678600464_73_195_25.7243385250516,4
Matt Niskanen,niskama01,WSH,D,-0.9,73,203,-0.28106067860046435,26.77969600300244,-0.281060678600464_73_203_26.7796960030024,4
Logan Couture,coutulo01,SJS,C,-0.9,73,205,-0.28106067860046435,27.043535372490147,-0.281060678600464_73_205_27.0435353724901,4
Marc-Edouard Vlasic,vlasima01,SJS,D,-0.9,73,205,-0.28106067860046435,27.043535372490147,-0.281060678600464_73_205_27.0435353724901,4
Bryan Little,littlbr01,WPG,C,-1,72,191,-0.30554581717320634,25.901427469135804,-0.305545817173206_72_191_25.9014274691358,4
Justin Faulk,faulkju01,CAR,D,-1,72,215,-0.30554581717320634,29.156057098765434,-0.305545817173206_72_215_29.1560570987654,4
Brock Boeser,boesebr01,VAN,RW,-1,73,191,-0.30554581717320634,25.196659786076186,-0.305545817173206_73_191_25.1966597860762,4
Colton Sissons,sissoco01,NSH,C,-1,73,200,-0.30554581717320634,26.383936948770877,-0.305545817173206_73_200_26.3839369487709,4
Mark Barberio,barbema01,COL,D,-1,73,207,-0.30554581717320634,27.307374741977856,-0.305545817173206_73_207_27.3073747419779,4
Remi Elie,eliere01,DAL,LW,-1,73,210,-0.30554581717320634,27.70313379620942,-0.305545817173206_73_210_27.7031337962094,4
Chris Thorburn,thorbch01,STL,RW,-1,75,235,-0.30554581717320634,29.369777777777777,-0.305545817173206_75_235_29.3697777777778,4
Alex Petrovic,petroal01,FLA,D,-1,76,206,-0.30554581717320634,25.07236842105263,-0.305545817173206_76_206_25.0723684210526,4
Tom Wilson,wilsoto01,WSH,RW,-1,76,218,-0.30554581717320634,26.532894736842106,-0.305545817173206_76_218_26.5328947368421,4
Tyler Motte,mottety01,CBJ,LW,-1.1,70,191,-0.33003095574594826,27.40265306122449,-0.330030955745948_70_191_27.4026530612245,4
Nail Yakupov,yakupna01,COL,RW,-1.1,71,195,-0.33003095574594826,27.194009125173576,-0.330030955745948_71_195_27.1940091251736,4
Mathew Dumba,dumbama01,MIN,D,-1.1,72,184,-0.33003095574594826,24.95216049382716,-0.330030955745948_72_184_24.9521604938272,4
Colton Sceviour,scevico01,FLA,RW,-1.1,72,195,-0.33003095574594826,26.44386574074074,-0.330030955745948_72_195_26.4438657407407,4
Nick Foligno,foligni01,CBJ,LW,-1.1,72,202,-0.33003095574594826,27.393132716049383,-0.330030955745948_72_202_27.3931327160494,4
Marcus Foligno,foligma01,MIN,LW,-1.1,75,232,-0.33003095574594826,28.994844444444446,-0.330030955745948_75_232_28.9948444444444,4
Derek Forbort,forbode01,LAK,D,-1.1,76,215,-0.33003095574594826,26.167763157894736,-0.330030955745948_76_215_26.1677631578947,4
Patrick Kane,kanepa01,CHI,RW,-1.2,71,177,-0.3545160943186902,24.683792898234476,-0.35451609431869_71_177_24.6837928982345,4
Ryan Hartman,hartmry01,CHI,LW,-1.2,72,181,-0.3545160943186902,24.545331790123456,-0.35451609431869_72_181_24.5453317901235,4
Devante Smith-Pelly,smithde06,WSH,RW,-1.2,72,223,-0.3545160943186902,30.24093364197531,-0.35451609431869_72_223_30.2409336419753,4
Mattias Janmark,janmama02,DAL,C,-1.2,73,196,-0.3545160943186902,25.85625820979546,-0.35451609431869_73_196_25.8562582097955,4
Thomas Chabot,chaboth01,OTT,D,-1.2,74,196,-0.3545160943186902,25.16216216216216,-0.35451609431869_74_196_25.1621621621622,4
Gabriel Dumont,dumonga01,TOT,C,-1.3,70,190,-0.3790012328914321,27.259183673469387,-0.379001232891432_70_190_27.2591836734694,4
Matt Calvert,calvema01,CBJ,LW,-1.3,71,186,-0.3790012328914321,25.938901011704026,-0.379001232891432_71_186_25.938901011704,4
Taylor Chorney,chornta01,WSH,D,-1.3,72,193,-0.3790012328914321,26.172646604938272,-0.379001232891432_72_193_26.1726466049383,4
Andre Burakovsky,burakan01,WSH,LW,-1.3,75,201,-0.3790012328914321,25.120533333333334,-0.379001232891432_75_201_25.1205333333333,4
Jimmy Vesey,veseyji02,NYR,LW,-1.3,75,206,-0.3790012328914321,25.74542222222222,-0.379001232891432_75_206_25.7454222222222,4
Brenden Dillon,dillobr01,SJS,D,-1.3,76,225,-0.3790012328914321,27.38486842105263,-0.379001232891432_76_225_27.3848684210526,4
Gabriel Bourque,bourqga01,COL,LW,-1.4,70,206,-0.40348637146417404,29.55469387755102,-0.403486371464174_70_206_29.554693877551,4
Cedric Paquette,paquece01,TBL,C,-1.4,73,198,-0.40348637146417404,26.12009757928317,-0.403486371464174_73_198_26.1200975792832,4
Tyler Myers,myersty01,WPG,D,-1.4,80,229,-0.40348637146417404,25.15421875,-0.403486371464174_80_229_25.15421875,4
Kris Russell,russekr01,EDM,D,-1.5,70,173,-0.42797151003691597,24.820204081632653,-0.427971510036916_70_173_24.8202040816327,4
Curtis Lazar,lazarcu01,CGY,RW,-1.5,72,209,-0.42797151003691597,28.342399691358025,-0.427971510036916_72_209_28.342399691358,4
Duncan Keith,keithdu01,CHI,D,-1.5,73,192,-0.42797151003691597,25.328579470820042,-0.427971510036916_73_192_25.32857947082,4
J.T. Miller,millejt01,NYR,LW,-1.5,73,218,-0.42797151003691597,28.758491274160257,-0.427971510036916_73_218_28.7584912741603,4
Wayne Simmonds,simmowa01,PHI,RW,-1.5,74,185,-0.42797151003691597,23.75,-0.427971510036916_74_185_23.75,4
Mike Matheson,mathemi01,FLA,D,-1.5,74,192,-0.42797151003691597,24.64864864864865,-0.427971510036916_74_192_24.6486486486486,4
Nolan Patrick,patrino01,PHI,C,-1.5,74,198,-0.42797151003691597,25.41891891891892,-0.427971510036916_74_198_25.4189189189189,4
William Carrier,carriwi01,VEG,LW,-1.5,74,212,-0.42797151003691597,27.216216216216218,-0.427971510036916_74_212_27.2162162162162,4
Ryan Pulock,pulocry01,NYI,D,-1.5,74,214,-0.42797151003691597,27.472972972972972,-0.427971510036916_74_214_27.472972972973,4
