Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI
Senorise Perry,PerrSe00,MIA,RB,-124,72,206,-0.7807290299627224,27.93557098765432
Keith Smith,SmitKe03,DAL,RB,-124,72,232,-0.7807290299627224,31.46141975308642
Derrick Coleman,ColeDe00,ATL,RB,-124,72,233,-0.7807290299627224,31.597029320987655
Patrick DiMarco,DiMaPa00,BUF,RB,-124,73,240,-0.7807290299627224,31.66072433852505
Jay Prosch,ProsJa00,HOU,RB,-124,73,254,-0.7807290299627224,33.507599924939015
Bobby Rainey,RainBo00,BAL,RB,-125,68,205,-0.7952860758387187,31.16673875432526
Josh Ferguson,FergJo02,IND,RB,-125,70,200,-0.7952860758387187,28.693877551020407
David Fluellen,FlueDa00,TEN,RB,-125,71,224,-0.7952860758387187,31.23824637968657
Michael Burton,BurtMi00,CHI,RB,-125,71,235,-0.7952860758387187,32.772267407260465
Dan Vitale,VitaDa00,CLE,RB,-125,73,240,-0.7952860758387187,31.66072433852505
Trevor Siemian,SiemTr00,DEN,QB,-125,75,215,-0.7952860758387187,26.87022222222222
Ryan Hewitt,HewiRy00,CIN,RB,-125,76,246,-0.7952860758387187,29.94078947368421
Raheem Mostert,MostRa00,SFO,RB,-126,70,195,-0.8098431217147151,27.976530612244897
Taiwan Jones,JoneTa00,BUF,RB,-126,71,202,-0.8098431217147151,28.170204324538783
LeShun Daniels,DaniLe00,WAS,RB,-126,72,225,-0.8098431217147151,30.51215277777778
Matt Jones,JoneMa04,IND,RB,-126,73,235,-0.8098431217147151,31.00112591480578
Terrell Watson,WatsTe00,PIT,RB,-126,73,240,-0.8098431217147151,31.66072433852505
Devante Mays,MaysDe00,GNB,RB,-129,71,230,-0.8535142593427041,32.0749851219996
Brett Hundley,HundBr00,GNB,QB,-132,75,227,-0.8971853969706932,28.369955555555556
Carson Palmer,PalmCa00,ARI,QB,-151,77,230,-1.173769268614624,27.271040647664023
C.J. Beathard,BeatC.00,SFO,QB,-166,74,219,-1.392124956754569,28.114864864864863
Jimmy Garoppolo,GaroJi00,SFO,QB,-168,74,226,-1.4212390485065618,29.013513513513512
