Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI
Deonte Thompson,ThomDe04,2TM,WR,-46,72,200,0.3547205483649929,27.121913580246915
Gerald Everett,EverGe00,LAR,TE,-46,75,239,0.3547205483649929,29.869688888888888
Zach Miller,MillZa02,CHI,TE,-46,76,233,0.3547205483649929,28.35855263157895
Tyler Higbee,HigbTy00,LAR,TE,-46,77,233,0.3547205483649929,27.62674987350312
Rhett Ellison,ElliRh00,NYG,TE,-46,77,251,0.3547205483649929,29.761005228537694
Darren Fells,FellDa01,DET,TE,-46,79,281,0.3547205483649929,31.652459541740107
Austin Ekeler,EkelAu00,LAC,RB,-47,70,195,0.34016350248899657,27.976530612244897
Jacoby Brissett,BrisJa00,IND,QB,-47,76,231,0.34016350248899657,28.11513157894737
JJ Nelson,NelsJJ00,ARI,WR,-48,70,156,0.3256064566130002,22.38122448979592
Josh McCown,McCoJo01,NYJ,QB,-48,76,212,0.3256064566130002,25.80263157894737
A.J. Derby,DerbA.00,2TM,TE,-48,76,255,0.3256064566130002,31.036184210526315
James White,WhitJa02,NWE,RB,-49,69,204,0.3110494107370039,30.12224322621298
Derek Carr,CarrDe02,OAK,QB,-49,74,214,0.3110494107370039,27.472972972972972
Jordan Reed,ReedJo02,WAS,TE,-49,75,236,0.3110494107370039,29.494755555555557
Jeremy Maclin,MaclJe00,BAL,WR,-51,72,200,0.2819353189850112,27.121913580246915
Terrance Williams,WillTe01,DAL,WR,-51,74,208,0.2819353189850112,26.7027027027027
Allen Hurns,HurnAl01,JAX,WR,-51,75,195,0.2819353189850112,24.370666666666665
Eric Decker,DeckEr00,TEN,WR,-51,75,206,0.2819353189850112,25.74542222222222
Jameis Winston,WinsJa00,TAM,QB,-51,76,232,0.2819353189850112,28.236842105263158
Adam Shaheen,ShahAd00,CHI,TE,-51,78,278,0.2819353189850112,32.122616699539776
Demetrius Harris,HarrDe03,KAN,TE,-52,79,230,0.2673782731090148,25.90770709822144
Martellus Bennett,BennMa00,2TM,TE,-53,79,248,0.2528212272330185,27.935266784169205
Chris Godwin,GodwCh00,TAM,WR,-54,73,209,0.23826418135702213,27.571214111465565
Rod Smith,SmitRo06,DAL,RB,-54,75,231,0.23826418135702213,28.869866666666667
Jonnu Smith,SmitJo01,TEN,TE,-54,75,248,0.23826418135702213,30.99448888888889
Aaron Jones,JoneAa00,GNB,RB,-56,69,208,0.2091500896050294,30.712875446334802
Wayne Gallman,GallWa00,NYG,RB,-56,72,215,0.2091500896050294,29.156057098765434
Lance Kendricks,KendLa00,GNB,TE,-56,75,240,0.2091500896050294,29.994666666666667
Jeff Heuerman,HeueJe00,DEN,TE,-56,77,255,0.2091500896050294,30.235284196323157
Peyton Barber,BarbPe01,TAM,RB,-57,71,225,0.19459304372903305,31.37770283673874
Vance McDonald,McDoVa00,PIT,TE,-57,76,267,0.19459304372903305,32.49671052631579
Greg Olsen,OlseGr00,CAR,TE,-57,78,254,0.19459304372903305,29.349441157133466
Cole Beasley,BeasCo00,DAL,WR,-58,68,174,0.1800359978530367,26.45371972318339
Trent Taylor,TaylTr02,SFO,WR,-58,68,181,0.1800359978530367,27.517949826989618
Ty Montgomery,MontTy01,GNB,RB,-58,72,216,0.1800359978530367,29.291666666666668
Torrey Smith,SmitTo02,PHI,WR,-58,73,205,0.1800359978530367,27.043535372490147
Cordarrelle Patterson,PattCo00,OAK,WR,-58,74,216,0.1800359978530367,27.72972972972973
Dion Sims,SimsDi00,CHI,TE,-58,77,262,0.1800359978530367,31.065272389947715
Ryan Griffin,GrifRy00,HOU,TE,-58,78,216,0.1800359978530367,24.958579881656803
Mike Gillislee,GillMi00,NWE,RB,-59,71,208,0.16547895197704035,29.006943066851814
Roger Lewis,LewiRo03,NYG,WR,-59,72,196,0.16547895197704035,26.579475308641975
Adrian Peterson,PeteAd01,2TM,RB,-59,74,217,0.16547895197704035,27.85810810810811
Doug Martin,MartDo00,TAM,RB,-60,69,223,0.150921906101044,32.92774627179164
Odell Beckham,BeckOd00,NYG,WR,-60,71,198,0.150921906101044,27.612378496330095
Bennie Fowler,FowlBe00,DEN,WR,-60,73,217,0.150921906101044,28.6265715894164
Eli Manning,MannEl00,NYG,QB,-60,76,218,0.150921906101044,26.532894736842106
Richard Rodgers,RodgRi00,GNB,TE,-60,76,257,0.150921906101044,31.279605263157894
Nick Boyle,BoylNi00,BAL,TE,-60,76,268,0.150921906101044,32.61842105263158
Brice Butler,ButlBr00,DAL,WR,-61,75,215,0.13636486022504765,26.87022222222222
James O'Shaughnessy,O'ShJa00,JAX,TE,-61,76,245,0.13636486022504765,29.81907894736842
Alfred Morris,MorrAl00,DAL,RB,-62,69,219,0.12180781434905132,32.337114051669815
John Brown,BrowJo02,ARI,WR,-62,71,179,0.12180781434905132,24.96270581233882
J.D. McKissic,McKiJ.00,SEA,RB,-62,71,193,0.12180781434905132,26.915096211069233
Donte Moncrief,MoncDo00,IND,WR,-62,74,221,0.12180781434905132,28.37162162162162
Pierre Garcon,GarcPi00,SFO,WR,-63,72,210,0.10725076847305497,28.47800925925926
Chris Ivory,IvorCh00,JAX,RB,-63,72,222,0.10725076847305497,30.105324074074073
Brent Celek,CeleBr00,PHI,TE,-63,76,261,0.10725076847305497,31.76644736842105
Brandon Coleman,ColeBr00,NOR,WR,-63,78,225,0.10725076847305497,25.99852071005917
Troy Niklas,NiklTr00,ARI,TE,-63,79,270,0.10725076847305497,30.41339528921647
Taylor Gabriel,GabrTa00,ATL,WR,-64,68,167,0.09269372259705862,25.389489619377162
Bruce Ellington,ElliBr00,HOU,WR,-64,69,197,0.09269372259705862,29.08863684099979
Nick Vannett,VannNi00,SEA,TE,-64,78,256,0.09269372259705862,29.580539119000658
Eric Tomlinson,TomlEr01,NYJ,TE,-64,78,263,0.09269372259705862,30.38938198553583
Levine Toilolo,ToilLe00,ATL,TE,-64,80,260,0.09269372259705862,28.559375
T.J. Jones,JoneT.00,DET,WR,-65,72,188,0.07813667672106227,25.494598765432098
Seth Roberts,RobeSe00,OAK,WR,-65,74,196,0.07813667672106227,25.16216216216216
Anthony Fasano,FasaAn00,MIA,TE,-65,76,255,0.07813667672106227,31.036184210526315
Devontae Booker,BookDe00,DEN,RB,-66,71,212,0.06357963084506592,29.564768895060503
David Morgan,MorgDa01,MIN,TE,-66,76,262,0.06357963084506592,31.888157894736842
Dwayne Allen,AlleDw00,NWE,TE,-67,75,255,0.04902258496906956,31.869333333333334
James Hanna,HannJa00,DAL,TE,-67,76,252,0.04902258496906956,30.67105263157895
C.J. Uzomah,UzomC.00,CIN,TE,-67,77,262,0.04902258496906956,31.065272389947715
Jalen Richard,RichJa01,OAK,RB,-68,68,207,0.03446553909307321,31.470804498269896
Elijah McGuire,McGuEl00,NYJ,RB,-68,70,214,0.03446553909307321,30.702448979591836
Josh Hill,HillJo02,NOR,TE,-68,77,229,0.03446553909307321,27.15247090571766
Kerwynn Williams,WillKe05,ARI,RB,-69,68,196,0.019908493217076863,29.798442906574394
Josh Bellamy,BellJo02,CHI,WR,-69,72,206,0.019908493217076863,27.93557098765432
Zay Jones,JoneZa00,BUF,WR,-69,74,201,0.019908493217076863,25.804054054054053
T.J. Yeldon,YeldT.00,JAX,RB,-69,74,221,0.019908493217076863,28.37162162162162
Logan Thomas,ThomLo00,BUF,TE,-69,78,248,0.019908493217076863,28.656147271531886
C.J. Fiedorowicz,FiedC.00,HOU,TE,-69,78,265,0.019908493217076863,30.620479947403023
Corey Coleman,ColeCo00,CLE,WR,-70,71,194,0.005351447341080513,27.054552668121403
Cody Latimer,LatiCo00,DEN,WR,-70,75,215,0.005351447341080513,26.87022222222222
Brandon Williams,WillBr04,IND,TE,-70,76,255,0.005351447341080513,31.036184210526315
Joe Flacco,FlacJo00,BAL,QB,-70,78,232,0.005351447341080513,26.807363576594344
Tavarres King,KingTa00,NYG,WR,-71,72,189,-0.009205598534915836,25.630208333333332
Chris Moore,MoorCh00,BAL,WR,-71,73,203,-0.009205598534915836,26.77969600300244
Rashard Higgins,HiggRa00,CLE,WR,-71,74,188,-0.009205598534915836,24.135135135135137
Michael Hoomanawanui,HoomMi00,NOR,TE,-71,75,271,-0.009205598534915836,33.86897777777778
Coby Fleener,FleeCo00,NOR,WR,-71,78,250,-0.009205598534915836,28.887245233399078
Austin Traylor,TrayAu00,DEN,TE,-72,75,255,-0.023762644410912186,31.869333333333334
Phillip Supernaw,SupePh00,TEN,TE,-72,77,250,-0.023762644410912186,29.64243548659133
Dalvin Cook,CookDa01,MIN,RB,-73,70,210,-0.038319690286908535,30.12857142857143
Justin Hardy,HardJu00,ATL,WR,-73,71,190,-0.038319690286908535,26.496726839912714
Dede Westbrook,WestDe00,JAX,WR,-73,72,178,-0.038319690286908535,24.138503086419753
Dontrelle Inman,InmaDo00,2TM,WR,-73,75,198,-0.038319690286908535,24.7456
Josh Gordon,GordJo02,CLE,WR,-73,76,220,-0.038319690286908535,26.776315789473685
Luke Stocker,StocLu00,2TM,TE,-73,77,255,-0.038319690286908535,30.235284196323157
Clive Walford,WalfCl00,OAK,TE,-74,76,254,-0.052876736162904885,30.914473684210527
Lee Smith,SmitLe00,OAK,TE,-74,78,269,-0.052876736162904885,31.08267587113741
Ross Travis,TravRo00,2TM,TE,-74,79,235,-0.052876736162904885,26.470918122095817
Aldrick Robinson,RobiAl00,SFO,WR,-75,70,184,-0.06743378203890124,26.398367346938777
Kenny Britt,BritKe00,2TM,WR,-75,75,215,-0.06743378203890124,26.87022222222222
DeAndre Washington,WashDe00,OAK,RB,-76,68,199,-0.08199082791489759,30.25454152249135
D'Onta Foreman,ForeDO00,HOU,RB,-76,72,233,-0.08199082791489759,31.597029320987655
Alan Cross,CrosAl00,TAM,TE,-76,73,235,-0.08199082791489759,31.00112591480578
Ben Koyack,KoyaBe00,JAX,TE,-76,77,249,-0.08199082791489759,29.523865744644965
Johnny Holton,HoltJo00,OAK,WR,-77,72,190,-0.09654787379089394,25.765817901234566
Ricardo Louis,LouiRi00,CLE,WR,-77,74,215,-0.09654787379089394,27.60135135135135
Orson Charles,CharOr00,KAN,TE,-77,74,251,-0.09654787379089394,32.222972972972975
Corey Davis,DaviCo03,TEN,WR,-77,75,209,-0.09654787379089394,26.120355555555555
Jacob Hollister,HollJa03,NWE,TE,-77,76,239,-0.09654787379089394,29.088815789473685
Michael Roberts,RobeMi01,DET,TE,-77,76,270,-0.09654787379089394,32.86184210526316
Sean McGrath,McGrSe00,LAC,TE,-77,77,247,-0.09654787379089394,29.286726260752236
Tyler Eifert,EifeTy00,CIN,TE,-77,78,250,-0.09654787379089394,28.887245233399078
Ifeanyi Momah,MomaIf00,ARI,TE,-77,79,239,-0.09654787379089394,26.921486941195322
Chester Rogers,RogeCh02,IND,WR,-78,73,180,-0.11110491966689029,23.74554325389379
Tyler Boyd,BoydTy00,CIN,WR,-78,73,197,-0.11110491966689029,25.988177894539312
Will Tye,TyexWi00,NYJ,TE,-78,74,262,-0.11110491966689029,33.63513513513514
Randall Telfer,TelfRa00,CLE,TE,-78,75,242,-0.11110491966689029,30.244622222222223
James Develin*,DeveJa00,NWE,TE,-78,75,251,-0.11110491966689029,31.369422222222223
Blake Bell,BellBl00,MIN,TE,-78,78,263,-0.11110491966689029,30.38938198553583
Andre Ellington,ElliAn00,2TM,RB,-79,70,199,-0.12566196554288664,28.550408163265306
Emanuel Byrd,ByrdEm00,GNB,TE,-79,74,239,-0.12566196554288664,30.68243243243243
Darrell Daniels,DaniDa02,IND,TE,-79,75,247,-0.12566196554288664,30.869511111111112
DeShone Kizer,KizeDe00,CLE,QB,-79,76,233,-0.12566196554288664,28.35855263157895
Geoff Swaim,SwaiGe00,DAL,TE,-79,76,250,-0.12566196554288664,30.42763157894737
Taywan Taylor,TaylTa00,TEN,WR,-80,71,203,-0.140219011418883,28.309660781590953
Cole Hikutini,HikuCo00,SFO,TE,-80,76,247,-0.140219011418883,30.0625
MarQueis Gray,GrayMa00,MIA,TE,-80,76,250,-0.140219011418883,30.42763157894737
Chris Manhertz,ManhCh00,CAR,TE,-80,78,255,-0.140219011418883,29.464990138067062
Jakeem Grant,GranJa00,MIA,WR,-81,66,165,-0.15477605729487934,26.62878787878788
Jarius Wright,WrigJa02,MIN,WR,-81,70,182,-0.15477605729487934,26.111428571428572
Charcandrick West,WestCh01,KAN,RB,-81,70,205,-0.15477605729487934,29.41122448979592
Jordan Matthews,MattJo00,BUF,WR,-81,75,212,-0.15477605729487934,26.49528888888889
Jamaal Charles,CharJa00,DEN,RB,-82,71,199,-0.1693331031708757,27.751834953382264
Deshaun Watson,WatsDe00,HOU,QB,-82,74,221,-0.1693331031708757,28.37162162162162
Tavon Austin,AustTa00,LAR,WR,-83,69,174,-0.18389014904687204,25.692501575299307
Andre Holmes,HolmAn00,BUF,WR,-83,77,208,-0.18389014904687204,24.66250632484399
Terrelle Pryor,PryoTe00,WAS,WR,-83,78,240,-0.18389014904687204,27.731755424063117
Mack Hollins,HollMa00,PHI,WR,-84,76,221,-0.1984471949228684,26.898026315789473
Michael Campanaro,CampMi02,BAL,WR,-85,69,192,-0.21300424079886474,28.35034656584751
Russell Shepard,ShepRu00,CAR,WR,-85,73,195,-0.21300424079886474,25.724338525051603
De'Anthony Thomas,ThomDe05,KAN,WR,-86,69,174,-0.22756128667486109,25.692501575299307
Shane Vereen,VereSh00,NYG,RB,-87,70,200,-0.24211833255085743,28.693877551020407
Damien Williams,WillDa05,MIA,RB,-87,71,211,-0.24211833255085743,29.42531243800833
Charles Sims,SimsCh00,TAM,RB,-87,72,214,-0.24211833255085743,29.020447530864196
Kendrick Bourne,BourKe00,SFO,WR,-87,73,203,-0.24211833255085743,26.77969600300244
Corey Grant,GranCo00,JAX,RB,-88,71,205,-0.2566753784268538,28.5885736956953
Robert Kelley,KellRo00,WAS,RB,-88,72,228,-0.2566753784268538,30.91898148148148
Jacquizz Rodgers,RodgJa00,TAM,RB,-89,67,190,-0.27123242430285016,29.754956560481176
Damiere Byrd,ByrdDa00,CAR,WR,-89,69,180,-0.27123242430285016,26.578449905482042
Jeremy Kerley,KerlJe00,NYJ,WR,-89,69,188,-0.27123242430285016,27.759714345725687
Alex Erickson,EricAl01,CIN,WR,-89,72,195,-0.27123242430285016,26.44386574074074
Alfred Blue,BlueAl00,HOU,RB,-89,74,223,-0.27123242430285016,28.62837837837838
Mike Davis,DaviMi01,SEA,RB,-90,69,223,-0.2857894701788465,32.92774627179164
Mike Tolbert,TolbMi00,BUF,RB,-90,69,243,-0.2857894701788465,35.880907372400756
Benny Cunningham,CunnBe01,CHI,RB,-90,70,210,-0.2857894701788465,30.12857142857143
Kyle Juszczyk*,JuszKy00,SFO,RB,-90,74,248,-0.2857894701788465,31.83783783783784
Geronimo Allison,AlliGe01,GNB,WR,-90,75,202,-0.2857894701788465,25.24551111111111
Malcolm Brown,BrowMa03,LAR,RB,-91,71,224,-0.30034651605484286,31.23824637968657
Braxton Miller,MillBr03,HOU,WR,-91,73,204,-0.30034651605484286,26.911615687746295
Demarcus Robinson,RobiDe01,KAN,WR,-92,73,203,-0.3149035619308392,26.77969600300244
Phillip Dorsett,DorsPh00,NWE,WR,-93,70,183,-0.32946060780683556,26.254897959183673
Wendell Smallwood,SmalWe00,PHI,RB,-93,70,208,-0.32946060780683556,29.841632653061225
Laquon Treadwell,TreaLa00,MIN,WR,-93,74,221,-0.32946060780683556,28.37162162162162
Eli Rogers,RogeEl00,PIT,WR,-94,70,187,-0.3440176536828319,26.828775510204082
Chris Carson,CarsCh00,SEA,RB,-94,72,218,-0.3440176536828319,29.562885802469136
Curtis Samuel,SamuCu00,CAR,WR,-95,71,196,-0.35857469955882826,27.33346558222575
Louis Murphy,MurpLo00,SFO,WR,-95,74,200,-0.35857469955882826,25.675675675675677
Chris Conley,ConlCh00,KAN,WR,-95,74,207,-0.35857469955882826,26.574324324324323
Tommylee Lewis,LewiTo00,NOR,WR,-96,67,168,-0.3731317454348246,26.309645800846514
Jaydon Mickens,MickJa01,JAX,WR,-97,71,170,-0.38768879131082096,23.70759769886927
Tion Green,GreeTi00,DET,RB,-97,72,220,-0.38768879131082096,29.834104938271604
Josh Reynolds,ReynJo00,LAR,WR,-97,75,194,-0.38768879131082096,24.24568888888889
Jay Cutler,CutlJa00,MIA,QB,-97,75,225,-0.38768879131082096,28.12
Brandon Marshall,MarsBr00,NYG,WR,-98,76,229,-0.4022458371868173,27.87171052631579
Terrance West,WestTe00,BAL,RB,-99,70,225,-0.41680288306281366,32.28061224489796
Tre McBride,McBrTr00,CHI,WR,-99,72,210,-0.41680288306281366,28.47800925925926
Brandon Tate,TateBr00,BUF,WR,-99,73,195,-0.41680288306281366,25.724338525051603
Darrius Heyward-Bey,HeywDa00,PIT,WR,-99,74,205,-0.41680288306281366,26.31756756756757
Elijhaa Penny,PennEl00,ARI,RB,-99,74,247,-0.41680288306281366,31.70945945945946
Jordan Taylor,TaylJo01,DEN,WR,-99,77,204,-0.41680288306281366,24.188227357058526
Kapri Bibbs,BibbKa00,WAS,RB,-100,69,212,-0.43135992893881,31.30350766645663
Kamar Aiken,AikeKa00,IND,WR,-100,74,213,-0.43135992893881,27.344594594594593
Josh Malone,MaloJo00,CIN,WR,-100,75,208,-0.43135992893881,25.99537777777778
Brenton Bersin,BersBr00,CAR,WR,-100,75,211,-0.43135992893881,26.37031111111111
Maxx Williams,WillMa04,BAL,WR,-100,76,250,-0.43135992893881,30.42763157894737
Daniel Brown,BrowDa04,CHI,WR,-100,77,225,-0.43135992893881,26.678191937932198
Danny Woodhead,WoodDa02,BAL,RB,-101,69,200,-0.44591697481480636,29.531611006091158
Marvin Hall,HallMa02,ATL,WR,-101,70,190,-0.44591697481480636,27.259183673469387
Travis Rudolph,RudoTr00,NYG,WR,-101,72,189,-0.44591697481480636,25.630208333333332
Maurice Harris,HarrMa05,WAS,WR,-101,75,200,-0.44591697481480636,24.995555555555555
Hunter Sharp,SharHu01,2TM,WR,-102,71,198,-0.4604740206908027,27.612378496330095
ArDarius Stewart,StewAr00,NYJ,WR,-102,71,204,-0.4604740206908027,28.449117238643126
Freddie Martino,MartFr00,TAM,WR,-103,72,195,-0.47503106656679905,26.44386574074074
Niles Paul,PaulNi00,WAS,WR,-103,73,225,-0.47503106656679905,29.681929067367236
Jaelen Strong,StroJa01,2TM,WR,-103,75,215,-0.47503106656679905,26.87022222222222
Mike Williams,WillMi07,LAC,WR,-103,76,218,-0.47503106656679905,26.532894736842106
Jesus Wilson,WilsJe00,TAM,WR,-104,69,189,-0.4895881124427954,27.907372400756145
Kaelin Clay,ClayKa00,2TM,WR,-104,70,190,-0.4895881124427954,27.259183673469387
Thomas Rawls,RawlTh00,SEA,RB,-104,70,217,-0.4895881124427954,31.132857142857144
Eddie Lacy,LacyEd00,SEA,RB,-104,71,231,-0.4895881124427954,32.21444157905177
Mike Thomas,ThomMi04,LAR,WR,-104,73,197,-0.4895881124427954,25.988177894539312
Tommy Bohanon,BohaTo00,JAX,RB,-104,73,246,-0.4895881124427954,32.45224244698818
Chad Hansen,HansCh00,NYJ,WR,-104,74,202,-0.4895881124427954,25.93243243243243
Xavier Grimble,GrimXa00,PIT,WR,-104,76,257,-0.4895881124427954,31.279605263157894
Jerell Adams,AdamJe01,NYG,WR,-104,77,244,-0.4895881124427954,28.93101703491314
Chris Thompson,ThomCh05,HOU,WR,-105,72,175,-0.5041451583187917,23.73167438271605
Trevor Davis,DaviTr03,GNB,WR,-105,73,188,-0.5041451583187917,24.800900731844624
Travaris Cadet,CadeTr00,2TM,RB,-105,73,210,-0.5041451583187917,27.70313379620942
Breshad Perriman,PerrBr02,BAL,WR,-105,74,214,-0.5041451583187917,27.472972972972972
Kasen Williams,WillKa02,CLE,WR,-105,74,219,-0.5041451583187917,28.114864864864863
Michael Floyd,FloyMi00,MIN,WR,-105,75,220,-0.5041451583187917,27.49511111111111
Justin Hunter,HuntJu00,PIT,WR,-105,76,196,-0.5041451583187917,23.855263157894736
Brian Quick,QuicBr00,WAS,WR,-105,76,209,-0.5041451583187917,25.4375
Neal Sterling,SterNe00,NYJ,WR,-105,76,235,-0.5041451583187917,28.601973684210527
Brittan Golden,GoldBr00,ARI,WR,-106,71,186,-0.5187022041947881,25.938901011704026
Willie Snead,SneaWi00,NOR,WR,-106,71,195,-0.5187022041947881,27.194009125173576
Pharoh Cooper*+,CoopPh00,LAR,WR,-106,71,208,-0.5187022041947881,29.006943066851814
Bryce Treggs,TregBr00,CLE,WR,-106,72,185,-0.5187022041947881,25.087770061728396
Leonte Carroo,CarrLe00,MIA,WR,-106,72,217,-0.5187022041947881,29.427276234567902
Sammie Coates,CoatSa00,CLE,WR,-106,74,213,-0.5187022041947881,27.344594594594593
Amara Darboh,DarbAm00,SEA,WR,-106,74,214,-0.5187022041947881,27.472972972972972
Derek Carrier,CarrDe00,LAR,WR,-106,75,238,-0.5187022041947881,29.744711111111112
Jeremy Sprinkle,SpriJe00,WAS,WR,-106,77,252,-0.5187022041947881,29.87957497048406
Tanner McEvoy,McEvTa01,SEA,WR,-106,78,230,-0.5187022041947881,26.576265614727152
Chad Williams,WillCh05,ARI,WR,-107,73,204,-0.5332592500707845,26.911615687746295
Vince Mayle,MaylVi00,BAL,WR,-107,74,224,-0.5332592500707845,28.756756756756758
Markus Wheaton,WheaMa00,CHI,WR,-108,71,189,-0.5478162959467808,26.357270382860545
Bernard Reedy,ReedBe01,2TM,WR,-109,69,175,-0.5623733418227771,25.84015963032976
Quan Bray,BrayQu00,IND,WR,-109,70,186,-0.5623733418227771,26.685306122448978
Jared Abbrederis,AbbrJa00,DET,WR,-109,73,195,-0.5623733418227771,25.724338525051603
Tanner Gentry,GentTa00,CHI,WR,-109,73,208,-0.5623733418227771,27.439294426721712
Michael Clark,ClarMi00,GNB,WR,-109,78,217,-0.5623733418227771,25.074128862590403
Jojo Natson,NatsJo00,NYJ,WR,-110,67,153,-0.5769303876987735,23.96057028291379
Ryan Switzer,SwitRy00,DAL,WR,-110,68,181,-0.5769303876987735,27.517949826989618
Kenjon Barner,BarnKe00,PHI,RB,-110,69,196,-0.5769303876987735,28.940978785969335
