Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI,combined_data,label
Jesse James,JameJe00,PIT,TE,-27,79,254,0.6313044200089235,28.611120012818457,0.631304420008924_79_254_28.6111200128185,5
Ameer Abdullah,AbduAm00,DET,RB,-28,68,198,0.6167473741329272,30.10250865051903,0.616747374132927_68_198_30.102508650519,5
Josh Doctson,DoctJo00,WAS,WR,-28,74,202,0.6167473741329272,25.93243243243243,0.616747374132927_74_202_25.9324324324324,5
Martavis Bryant,BryaMa00,PIT,WR,-30,76,211,0.5876332823809345,25.68092105263158,0.587633282380934_76_211_25.6809210526316,5
Ed Dickson,DickEd00,CAR,TE,-30,76,244,0.5876332823809345,29.69736842105263,0.587633282380934_76_244_29.6973684210526,5
Antonio Gates,GateAn00,LAC,TE,-30,76,260,0.5876332823809345,31.644736842105264,0.587633282380934_76_260_31.6447368421053,5
Austin Seferian-Jenkins,SefeAu00,NYJ,TE,-30,78,262,0.5876332823809345,30.273833004602235,0.587633282380934_78_262_30.2738330046022,5
Ryan Grant,GranRy01,WAS,WR,-32,72,199,0.5585191906289418,26.98630401234568,0.558519190628942_72_199_26.9863040123457,5
Tyrod Taylor,TaylTy00,BUF,QB,-32,72,221,0.5585191906289418,29.96971450617284,0.558519190628942_72_221_29.9697145061728,5
Danny Amendola,AmenDa00,NWE,WR,-35,71,183,0.5148480530009527,25.52053164054751,0.514848053000953_71_183_25.5205316405475,4
Chris Hogan,HogaCh00,NWE,WR,-37,73,220,0.48573396124896007,29.022330643647965,0.48573396124896_73_220_29.022330643648,4
DeVante Parker,ParkDe01,MIA,WR,-38,75,209,0.4711769153729637,26.120355555555555,0.471176915372964_75_209_26.1203555555556,4
Seth Devalve,DevaSe00,CLE,TE,-38,76,245,0.4711769153729637,29.81907894736842,0.471176915372964_76_245_29.8190789473684,4
Jermaine Gresham,GresJe00,ARI,TE,-38,77,261,0.4711769153729637,30.94670264800135,0.471176915372964_77_261_30.9467026480013,4
Albert Wilson,WilsAl02,KAN,WR,-39,69,200,0.45661986949696737,29.531611006091158,0.456619869496967_69_200_29.5316110060912,4
Tyler Lockett,LockTy00,SEA,WR,-40,70,181,0.442062823620971,25.967959183673468,0.442062823620971_70_181_25.9679591836735,4
Samaje Perine,PeriSa00,WAS,RB,-40,71,233,0.442062823620971,32.49335449315612,0.442062823620971_71_233_32.4933544931561,4
Brandon LaFell,LaFeBr00,CIN,WR,-40,74,208,0.442062823620971,26.7027027027027,0.442062823620971_74_208_26.7027027027027,4
Nick O'Leary,OLeaNi00,BUF,TE,-40,75,247,0.442062823620971,30.869511111111112,0.442062823620971_75_247_30.8695111111111,4
Jaron Brown,BrowJa03,ARI,WR,-41,74,205,0.42750577774497467,26.31756756756757,0.427505777744975_74_205_26.3175675675676,4
Marcus Mariota,MariMa01,TEN,QB,-41,76,215,0.42750577774497467,26.167763157894736,0.427505777744975_76_215_26.1677631578947,4
