Name,playerid,Team,Pos,WAR,height,weight,z_score,BMI,combined_data,label,Random
Steven Matz,13361,Mets,P,0.4,74,200,-0.660010068,25.67567568,-0.660010068362395_74_200_25.6756756756757,2,0.942175651
Patrick Kivlehan,13910,Reds,RF,-0.2,74,223,-1.032921054,28.62837838,-1.03292105401819_74_223_28.6283783783784,1,0.946458036
Yangervis Solarte,5352,Padres,2B,1.1,71,205,-0.224947252,28.5885737,-0.224947251763962_71_205_28.5885736956953,3,0.947232973
Aaron Hicks,5297,Yankees,CF/LF,3.3,73,202,1.142393029,26.64777632,1.14239302897397_73_202_26.6477763182586,5,0.951183756
Tommy Joseph,10349,Phillies,1B,-1.1,73,255,-1.592287533,33.63951961,-1.59228753250189_73_255_33.6395196096829,0,0.953614808
Xander Bogaerts,12161,Red Sox,SS,3.2,73,210,1.080241198,27.7031338,1.08024119803134_73_210_27.7031337962094,5,0.95362284
Trevor Cahill,6249,- - -,P,0.3,76,240,-0.722161899,29.21052632,-0.722161899305028_76_240_29.2105263157895,2,0.954338273
Matt Moore,1890,Giants,P,1,75,210,-0.287099083,26.24533333,-0.287099082706596_75_210_26.2453333333333,2,0.954973246
Brent Suter,13942,Brewers,P,1.6,77,195,0.085811903,23.12109968,0.0858119029492039_77_195_23.1210996795412,3,0.957234569
Manny Pina,2829,Brewers,C,2,72,215,0.334419227,29.1560571,0.334419226719737_72_215_29.1560570987654,3,0.958023502
Hansel Robles,11801,Mets,P,-0.3,71,185,-1.095072885,25.79944455,-1.09507288496083_71_185_25.7994445546519,1,0.958598872
Matt Chapman,16505,Athletics,3B,2.7,72,210,0.769482043,28.47800926,0.76948204331817_72_210_28.4780092592593,4,0.959380983
DJ LeMahieu,9874,Rockies,2B,1.8,76,215,0.210115565,26.16776316,0.21011556483447_76_215_26.1677631578947,3,0.961785833
Evan Longoria,9368,Rays,3B,2.5,74,210,0.645178381,26.95945946,0.645178381432903_74_210_26.9594594594595,4,0.962320061
Matt Holliday,1873,Yankees,DH,-0.1,76,240,-0.970769223,29.21052632,-0.970769223075561_76_240_29.2105263157895,1,0.963283558
Jackie Bradley Jr.,12984,Red Sox,CF,2.3,70,200,0.52087472,28.69387755,0.520874719547636_70_200_28.6938775510204,4,0.966514264
Tommy Pham,2967,Cardinals,CF/LF,5.9,73,210,2.758340633,27.7031338,2.75834063348243_73_210_27.7031337962094,7,0.968221928
Rick Porcello,2717,Red Sox,P,2,77,205,0.334419227,24.3067971,0.334419226719737_77_205_24.3067970990049,3,0.970137786
Justin Upton,5222,- - -,LF,5,74,205,2.198974155,26.31756757,2.19897415499873_74_205_26.3175675675676,6,0.972999382
Jason Hammel,4538,Royals,P,2.1,78,225,0.396571058,25.99852071,0.39657105766237_78_225_25.9985207100592,4,0.973643087
Archie Bradley,12918,Diamondbacks,P,2.1,76,225,0.396571058,27.38486842,0.39657105766237_76_225_27.3848684210526,4,0.976274266
Andrew Knapp,14942,Phillies,C,0.7,73,195,-0.473554576,25.72433853,-0.473554575534495_73_195_25.7243385250516,2,0.977808749
Kenta Maeda,18498,Dodgers,P,2,73,175,0.334419227,23.08594483,0.334419226719737_73_175_23.0859448301745,3,0.979541843
Joe Smith,3281,- - -,P,1.8,74,205,0.210115565,26.31756757,0.21011556483447_74_205_26.3175675675676,3,0.980446108
Yadier Molina,7007,Cardinals,C,2.1,71,205,0.396571058,28.5885737,0.39657105766237_71_205_28.5885736956953,4,0.983328743
David Holmberg,7725,White Sox,P,-0.7,75,245,-1.343680209,30.61955556,-1.34368020873136_75_245_30.6195555555556,1,0.984924298
Robbie Ray,11486,Diamondbacks,P,3.2,74,195,1.080241198,25.03378378,1.08024119803134_74_195_25.0337837837838,5,0.984990993
Jaime Garcia,8137,- - -,P,2.1,74,215,0.396571058,27.60135135,0.39657105766237_74_215_27.6013513513514,4,0.986809846
Elias Diaz,11680,Pirates,C,-0.3,73,215,-1.095072885,28.36273222,-1.09507288496083_73_215_28.3627322199287,1,0.987219068
Khris Davis,9112,Athletics,LF,2.3,70,195,0.52087472,27.97653061,0.520874719547636_70_195_27.9765306122449,4,0.98868011
Mike Napoli,3057,Rangers,1B,-0.5,73,225,-1.219376547,29.68192907,-1.21937654684609_73_225_29.6819290673672,1,0.990028727
Mike Dunn,9948,Rockies,P,0.2,72,215,-0.78431373,29.1560571,-0.784313730247662_72_215_29.1560570987654,2,0.992680924
Ryan Zimmerman,4220,Nationals,1B,3.3,75,225,1.142393029,28.12,1.14239302897397_75_225_28.12,5,0.994110089
Casey Lawrence,11121,- - -,P,-0.3,74,170,-1.095072885,21.82432432,-1.09507288496083_74_170_21.8243243243243,1,0.994267602
Andrew Moore,17553,Mariners,P,0,72,185,-0.908617392,25.08777006,-0.908617392132928_72_185_25.0877700617284,1,0.995590736
Dallas Keuchel,9434,Astros,P,2.5,75,205,0.645178381,25.62044444,0.645178381432903_75_205_25.6204444444444,4,0.997288391
Zach McAllister,2895,Indians,P,0.4,78,240,-0.660010068,27.73175542,-0.660010068362395_78_240_27.7317554240631,2,0.998300365
Jose Osuna,12937,Pirates,1B/RF,-0.5,75,240,-1.219376547,29.99466667,-1.21937654684609_75_240_29.9946666666667,1,0.999067446
Billy Hamilton,10199,Reds,CF,1.2,72,160,-0.162795421,21.69753086,-0.162795420821329_72_160_21.6975308641975,3,0.999186855
Michael Brantley,4106,Indians,LF,1.6,74,200,0.085811903,25.67567568,0.0858119029492039_74_200_25.6756756756757,3,0.999830953
