Name,playerid,Team,Pos,PER,height,weight,z_score,BMI,combined_data,label
Wayne Ellington,ellinwa01,MIA,SG,13.8,76,200,-0.1018916597536313,24.342105263157894,-0.101891659753631_76_200_24.3421052631579,3
Jamal Crawford,crawfja01,MIN,SG,13.8,77,200,-0.1018916597536313,23.713948389273064,-0.101891659753631_77_200_23.7139483892731,3
JaMychal Green,greenja01,MEM,PF,13.8,81,227,-0.1018916597536313,24.322664228014023,-0.101891659753631_81_227_24.322664228014,3
Langston Galloway,gallola01,DET,SG,13.7,74,200,-0.12250903372137523,25.675675675675677,-0.122509033721375_74_200_25.6756756756757,3
Devin Harris,harride01,DAL,PG,13.7,75,192,-0.12250903372137523,23.995733333333334,-0.122509033721375_75_192_23.9957333333333,3
Jerami Grant,grantje01,OKC,PF,13.7,80,210,-0.12250903372137523,23.0671875,-0.122509033721375_80_210_23.0671875,3
Frank Kaminsky,kaminfr01,CHO,PF,13.7,84,242,-0.12250903372137523,24.110827664399093,-0.122509033721375_84_242_24.1108276643991,3
Terry Rozier,roziete01,BOS,PG,13.6,74,190,-0.1431264076891188,24.39189189189189,-0.143126407689119_74_190_24.3918918918919,3
Tyus Jones,jonesty01,MIN,PG,13.6,74,195,-0.1431264076891188,25.033783783783782,-0.143126407689119_74_195_25.0337837837838,3
Manu Ginobili,ginobma01,SAS,SG,13.6,78,205,-0.1431264076891188,23.687541091387246,-0.143126407689119_78_205_23.6875410913872,3
Raymond Felton,feltora01,OKC,PG,13.5,73,205,-0.16374378165686235,27.043535372490147,-0.163743781656862_73_205_27.0435353724901,3
Kelly Oubre,oubreke01,WAS,SF,13.5,79,205,-0.16374378165686235,23.091651978849544,-0.163743781656862_79_205_23.0916519788495,3
Jaylen Brown,brownja02,BOS,SF,13.5,79,225,-0.16374378165686235,25.34449607434706,-0.163743781656862_79_225_25.3444960743471,3
Caris LeVert,leverca01,BRK,SF,13.4,79,203,-0.18436115562460592,22.866367569299793,-0.184361155624606_79_203_22.8663675692998,3
Andrew Wiggins,wiggian01,MIN,SF,13.4,80,199,-0.18436115562460592,21.85890625,-0.184361155624606_80_199_21.85890625,3
Tristan Thompson,thomptr01,CLE,C,13.4,81,238,-0.18436115562460592,25.501295534217345,-0.184361155624606_81_238_25.5012955342173,3
Johnny O'Bryant,obryajo01,CHO,PF,13.4,81,257,-0.18436115562460592,27.537113244932176,-0.184361155624606_81_257_27.5371132449322,3
Tony Parker,parketo01,SAS,PG,13.3,74,185,-0.2049785295923495,23.75,-0.204978529592349_74_185_23.75,3
Kyle Korver,korveky01,CLE,SG,13.3,79,212,-0.2049785295923495,23.880147412273676,-0.204978529592349_79_212_23.8801474122737,3
Kevon Looney,looneke01,GSW,C,13.3,81,220,-0.2049785295923495,23.572626124066453,-0.204978529592349_81_220_23.5726261240665,3
Fred VanVleet,vanvlfr01,TOR,PG,13.2,72,195,-0.22559590356009343,26.44386574074074,-0.225595903560093_72_195_26.4438657407407,3
Austin Rivers,riverau01,LAC,SG,13.2,76,200,-0.22559590356009343,24.342105263157894,-0.225595903560093_76_200_24.3421052631579,3
David Nwaba,nwabada01,CHI,SG,13.2,76,209,-0.22559590356009343,25.4375,-0.225595903560093_76_209_25.4375,3
Tyler Johnson,johnsty01,MIA,PG,13.1,76,186,-0.24621327752783698,22.638157894736842,-0.246213277527837_76_186_22.6381578947368,3
Channing Frye,fryech01,CLE,C,13.1,83,255,-0.24621327752783698,26.02191900130643,-0.246213277527837_83_255_26.0219190013064,3
Dennis Smith,smithde03,DAL,PG,13,75,195,-0.26683065149558055,24.370666666666665,-0.266830651495581_75_195_24.3706666666667,3
Joffrey Lauvergne,lauvejo01,SAS,C,13,83,220,-0.26683065149558055,22.450283059950646,-0.266830651495581_83_220_22.4502830599506,3
Patty Mills,millspa02,SAS,PG,12.9,72,185,-0.2874480254633241,25.087770061728396,-0.287448025463324_72_185_25.0877700617284,3
Dejounte Murray,murrade01,SAS,PG,12.9,77,170,-0.2874480254633241,20.156856130882105,-0.287448025463324_77_170_20.1568561308821,3
Kentavious Caldwell-Pope,caldwke01,LAL,SG,12.9,77,205,-0.2874480254633241,24.306797099004893,-0.287448025463324_77_205_24.3067970990049,3
E'Twaun Moore,mooreet01,NOP,SG,12.8,76,191,-0.3080653994310677,23.24671052631579,-0.308065399431068_76_191_23.2467105263158,3
Robert Covington,covinro01,PHI,PF,12.7,81,215,-0.3286827733988116,23.03688462124676,-0.328682773398812_81_215_23.0368846212468,3
Brandon Ingram,ingrabr01,LAL,SF,12.6,81,190,-0.3493001473665552,20.3581771071483,-0.349300147366555_81_190_20.3581771071483,3
Maxi Kleber,klebima01,DAL,PF,12.6,82,220,-0.3493001473665552,23.001189767995243,-0.349300147366555_82_220_23.0011897679952,3
Emmanuel Mudiay,mudiaem01,DEN,PG,12.5,77,200,-0.3699175213342987,23.713948389273064,-0.369917521334299_77_200_23.7139483892731,3
Bojan Bogdanovic,bogdabo02,IND,SF,12.5,80,216,-0.3699175213342987,23.72625,-0.369917521334299_80_216_23.72625,3
Ryan Anderson,anderry01,HOU,PF,12.5,82,240,-0.3699175213342987,25.09220701963117,-0.369917521334299_82_240_25.0922070196312,3
Frank Mason,masonfr01,SAC,PG,12.4,72,189,-0.3905348953020423,25.630208333333332,-0.390534895302042_72_189_25.6302083333333,3
Josh Richardson,richajo01,MIA,SF,12.4,78,200,-0.3905348953020423,23.109796186719265,-0.390534895302042_78_200_23.1097961867193,3
Joe Harris,harrijo01,BRK,SG,12.4,78,219,-0.3905348953020423,25.305226824457595,-0.390534895302042_78_219_25.3052268244576,3
Reggie Bullock,bullore01,DET,SF,12.4,79,205,-0.3905348953020423,23.091651978849544,-0.390534895302042_79_205_23.0916519788495,3
Jonathon Simmons,simmojo02,ORL,SG,12.3,78,195,-0.4111522692697859,22.53205128205128,-0.411152269269786_78_195_22.5320512820513,3
James Ennis,ennisja01,MEM,SF,12.3,79,210,-0.4111522692697859,23.65486300272392,-0.411152269269786_79_210_23.6548630027239,3
