Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score
Conor Sheary,shearco01,PIT,LW,4.8,68,175,1.1145922200458258
Damon Severson,severda01,NJD,D,4.8,74,205,1.1145922200458258
Kevan Miller,milleke03,BOS,D,4.8,74,210,1.1145922200458258
Sean Kuraly,kuralse01,BOS,C,4.8,74,213,1.1145922200458258
Tim Heed,heedti01,SJS,D,4.7,72,185,1.0901070814730838
Paul Stastny,stastpa01,STL,C,4.7,72,193,1.0901070814730838
Anze Kopitar,kopitan01,LAK,C,4.7,75,224,1.0901070814730838
Blake Coleman,colembl01,NJD,C,4.6,71,200,1.0656219429003417
Evander Kane,kaneev01,BUF,LW,4.6,74,212,1.0656219429003417
Torey Krug,krugto01,BOS,D,4.5,69,186,1.0411368043276
Carl Hagelin,hagelca01,PIT,LW,4.5,71,186,1.0411368043276
Brock McGinn,mcginbr01,CAR,LW,4.5,72,185,1.0411368043276
Jared Spurgeon,spurgja01,MIN,D,4.4,69,168,1.016651665754858
Antoine Roussel,roussan01,DAL,LW,4.4,71,195,1.016651665754858
Phillip Danault,danauph01,MTL,LW,4.4,73,195,1.016651665754858
Sean Couturier,coutuse01,PHI,C,4.4,75,211,1.016651665754858
Ryan Murray,murrary01,CBJ,D,4.3,73,205,0.9921665271821161
Bobby Ryan,ryanbo01,OTT,RW,4.3,74,209,0.9921665271821161
Brayden Schenn,schenbr01,STL,C,4.2,73,200,0.9676813886093742
Max Pacioretty,pacioma01,MTL,LW,4.2,74,206,0.9676813886093742
Christian Fischer,fischch01,ARI,RW,4.2,74,214,0.9676813886093742
Ben Chiarot,chiarbe01,WPG,D,4.2,75,219,0.9676813886093742
Robert Bortuzzo,borturo01,STL,D,4.2,76,216,0.9676813886093742
Victor Hedman,hedmavi01,TBL,D,4.2,78,223,0.9676813886093742
Alex Tuch,tuchal01,VEG,RW,4.1,76,222,0.9431962500366321
Joonas Donskoi,donskjo01,SJS,RW,4,72,190,0.9187111114638903
Henrik Zetterberg,zettehe01,DET,LW,4,72,197,0.9187111114638903
Kris Letang,letankr01,PIT,D,4,72,201,0.9187111114638903
Dmitrij Jaskin,jaskidm01,STL,RW,4,74,216,0.9187111114638903
Michael Raffl,rafflmi01,PHI,LW,3.9,72,200,0.8942259728911484
