Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score
Marc-Edouard Vlasic,vlasima01,SJS,D,-0.9,73,205,-0.28106067860046435
Bryan Little,littlbr01,WPG,C,-1,72,191,-0.30554581717320634
Justin Faulk,faulkju01,CAR,D,-1,72,215,-0.30554581717320634
Brock Boeser,boesebr01,VAN,RW,-1,73,191,-0.30554581717320634
Colton Sissons,sissoco01,NSH,C,-1,73,200,-0.30554581717320634
Mark Barberio,barbema01,COL,D,-1,73,207,-0.30554581717320634
Remi Elie,eliere01,DAL,LW,-1,73,210,-0.30554581717320634
Chris Thorburn,thorbch01,STL,RW,-1,75,235,-0.30554581717320634
Alex Petrovic,petroal01,FLA,D,-1,76,206,-0.30554581717320634
Tom Wilson,wilsoto01,WSH,RW,-1,76,218,-0.30554581717320634
Tyler Motte,mottety01,CBJ,LW,-1.1,70,191,-0.33003095574594826
Nail Yakupov,yakupna01,COL,RW,-1.1,71,195,-0.33003095574594826
Mathew Dumba,dumbama01,MIN,D,-1.1,72,184,-0.33003095574594826
Colton Sceviour,scevico01,FLA,RW,-1.1,72,195,-0.33003095574594826
Nick Foligno,foligni01,CBJ,LW,-1.1,72,202,-0.33003095574594826
Marcus Foligno,foligma01,MIN,LW,-1.1,75,232,-0.33003095574594826
Derek Forbort,forbode01,LAK,D,-1.1,76,215,-0.33003095574594826
Patrick Kane,kanepa01,CHI,RW,-1.2,71,177,-0.3545160943186902
Ryan Hartman,hartmry01,CHI,LW,-1.2,72,181,-0.3545160943186902
Devante Smith-Pelly,smithde06,WSH,RW,-1.2,72,223,-0.3545160943186902
Mattias Janmark,janmama02,DAL,C,-1.2,73,196,-0.3545160943186902
Thomas Chabot,chaboth01,OTT,D,-1.2,74,196,-0.3545160943186902
Gabriel Dumont,dumonga01,TOT,C,-1.3,70,190,-0.3790012328914321
Matt Calvert,calvema01,CBJ,LW,-1.3,71,186,-0.3790012328914321
Taylor Chorney,chornta01,WSH,D,-1.3,72,193,-0.3790012328914321
Andre Burakovsky,burakan01,WSH,LW,-1.3,75,201,-0.3790012328914321
Jimmy Vesey,veseyji02,NYR,LW,-1.3,75,206,-0.3790012328914321
Brenden Dillon,dillobr01,SJS,D,-1.3,76,225,-0.3790012328914321
Gabriel Bourque,bourqga01,COL,LW,-1.4,70,206,-0.40348637146417404
Cedric Paquette,paquece01,TBL,C,-1.4,73,198,-0.40348637146417404
Tyler Myers,myersty01,WPG,D,-1.4,80,229,-0.40348637146417404
Kris Russell,russekr01,EDM,D,-1.5,70,173,-0.42797151003691597
Curtis Lazar,lazarcu01,CGY,RW,-1.5,72,209,-0.42797151003691597
Duncan Keith,keithdu01,CHI,D,-1.5,73,192,-0.42797151003691597
J.T. Miller,millejt01,NYR,LW,-1.5,73,218,-0.42797151003691597
Wayne Simmonds,simmowa01,PHI,RW,-1.5,74,185,-0.42797151003691597
Mike Matheson,mathemi01,FLA,D,-1.5,74,192,-0.42797151003691597
Nolan Patrick,patrino01,PHI,C,-1.5,74,198,-0.42797151003691597
William Carrier,carriwi01,VEG,LW,-1.5,74,212,-0.42797151003691597
Ryan Pulock,pulocry01,NYI,D,-1.5,74,214,-0.42797151003691597
Alexei Emelin,emelial01,NSH,D,-1.5,74,218,-0.42797151003691597
Jujhar Khaira,khairju01,EDM,LW,-1.5,76,214,-0.42797151003691597
Martin Hanzal,hanzama01,DAL,C,-1.5,78,230,-0.42797151003691597
Zac Rinaldo,rinalza01,ARI,LW,-1.6,70,192,-0.45245664860965795
Tyson Jost,jostty01,COL,C,-1.6,71,191,-0.45245664860965795
Ryan O'Reilly,oreilry01,BUF,C,-1.6,73,216,-0.45245664860965795
Andrej Sustr,sustran01,TBL,D,-1.6,79,220,-0.45245664860965795
Marcus Johansson,johanma03,NJD,LW,-1.7,73,205,-0.4769417871823998
Jonny Brodzinski,brodzjo01,LAK,C,-1.7,73,217,-0.4769417871823998
Cody McLeod,mcleoco01,NSH,LW,-1.7,74,210,-0.4769417871823998
Miikka Salomaki,salommi01,NSH,RW,-1.8,71,203,-0.5014269257551418
Valtteri Filppula,filppva01,PHI,C,-1.8,72,196,-0.5014269257551418
Tom Kuhnhackl,kuhnhto01,PIT,RW,-1.8,74,196,-0.5014269257551418
Alex Ovechkin,ovechal01,WSH,LW,-1.8,75,235,-0.5014269257551418
Samuel Girard,girarsa01,TOT,D,-1.9,70,162,-0.5259120643278836
Anthony Bitetto,bitetan01,NSH,D,-1.9,73,210,-0.5259120643278836
Jacob de La Rose,delarja01,MTL,LW,-1.9,75,210,-0.5259120643278836
Rasmus Ristolainen,ristora01,BUF,D,-1.9,76,218,-0.5259120643278836
Jimmy Hayes,hayesji01,NJD,RW,-1.9,77,215,-0.5259120643278836
Mats Zuccarello,zuccama01,NYR,RW,-2,68,179,-0.5503972029006255
Drake Caggiula,caggidr01,EDM,LW,-2,70,185,-0.5503972029006255
Vladislav Namestnikov,namesvl01,TBL,C,-2,71,180,-0.5503972029006255
Niklas Hjalmarsson,hjalmni01,ARI,D,-2,75,197,-0.5503972029006255
Jordan Martinook,martijo01,ARI,LW,-2.1,72,204,-0.5748823414733675
Jared McCann,mccanja01,FLA,C,-2.1,73,198,-0.5748823414733675
Paul Carey,careypa01,NYR,C,-2.1,73,200,-0.5748823414733675
Justin Braun,braunju01,SJS,D,-2.1,74,205,-0.5748823414733675
David Krejci,krejcda01,BOS,C,-2.2,72,188,-0.5993674800461095
Fredrik Claesson,claesfr01,OTT,D,-2.2,73,200,-0.5993674800461095
Matt Irwin,irwinma01,NSH,D,-2.2,73,207,-0.5993674800461095
Ryan McDonagh,mcdonry01,NYR,D,-2.2,73,215,-0.5993674800461095
Kevin Roy,royke01,ANA,LW,-2.3,69,170,-0.6238526186188513
Denis Malgin,malgide01,FLA,C,-2.3,69,177,-0.6238526186188513
Mike Cammalleri,cammami01,TOT,LW,-2.3,69,185,-0.6238526186188513
Matt Duchene,duchema01,TOT,C,-2.3,71,195,-0.6238526186188513
Derrick Pouliot,poulide01,VAN,D,-2.3,72,208,-0.6238526186188513
Jori Lehtera,lehtejo01,PHI,C,-2.3,74,212,-0.6238526186188513
Jake Muzzin,muzzija01,LAK,D,-2.3,75,213,-0.6238526186188513
Victor Antipin,antipvi01,BUF,D,-2.4,71,175,-0.6483377571915933
Derek MacKenzie,mackede01,FLA,C,-2.4,71,181,-0.6483377571915933
Jan Rutta,ruttaja02,CHI,D,-2.4,75,200,-0.6483377571915933
Marco Scandella,scandma01,BUF,D,-2.4,75,208,-0.6483377571915933
Patrik Berglund,berglpa01,STL,C,-2.4,76,219,-0.6483377571915933
T.J. Brodie,broditj01,CGY,D,-2.5,73,182,-0.6728228957643352
Martin Frk,frkma01,DET,RW,-2.5,73,205,-0.6728228957643352
Nicklas Backstrom,backsni02,WSH,C,-2.5,73,210,-0.6728228957643352
Daniel Winnik,winnida01,MIN,LW,-2.5,74,210,-0.6728228957643352
Byron Froese,froesby01,MTL,C,-2.6,73,202,-0.6973080343370772
Scott Hartnell,hartnsc01,NSH,LW,-2.6,74,215,-0.6973080343370772
Clayton Keller,kellecl01,ARI,LW,-2.7,70,170,-0.7217931729098191
Yannick Weber,weberya01,NSH,D,-2.7,71,200,-0.7217931729098191
Gustav Forsling,forslgu02,CHI,D,-2.7,72,186,-0.7217931729098191
Kyle Connor,connoky01,WPG,LW,-2.7,73,182,-0.7217931729098191
Jannik Hansen,hanseja01,SJS,RW,-2.7,73,198,-0.7217931729098191
Roman Josi,josiro01,NSH,D,-2.7,73,201,-0.7217931729098191
Ivan Provorov,provoiv01,PHI,D,-2.7,73,201,-0.7217931729098191
David Savard,savarda01,CBJ,D,-2.7,74,227,-0.7217931729098191
Anders Lee,leean01,NYI,LW,-2.7,75,231,-0.7217931729098191
Joakim Nordstrom,nordsjo02,CAR,LW,-2.8,73,189,-0.746278311482561
Zack Mitchell,mitchza01,MIN,RW,-2.8,73,196,-0.746278311482561
Josh Gorges,gorgejo01,BUF,D,-2.8,73,204,-0.746278311482561
Derek Grant,grantde01,ANA,C,-2.8,75,215,-0.746278311482561
Cal Clutterbuck,cluttca01,NYI,RW,-2.9,71,216,-0.7707634500553029
Joshua Ho-Sang,hosanjo01,NYI,RW,-2.9,72,173,-0.7707634500553029
Matt Stajan,stajama01,CGY,C,-2.9,73,195,-0.7707634500553029
Brendan Gaunce,gauncbr01,VAN,LW,-2.9,74,217,-0.7707634500553029
Scott Mayfield,mayfisc01,NYI,D,-2.9,76,227,-0.7707634500553029
Micheal Haley,haleymi01,FLA,LW,-3,71,205,-0.7952485886280449
Nic Dowd,dowdni01,TOT,C,-3,74,197,-0.7952485886280449
Dennis Rasmussen,rasmude01,ANA,C,-3,75,192,-0.7952485886280449
Haydn Fleury,fleurha01,CAR,D,-3,75,221,-0.7952485886280449
Mark Letestu,letesma01,EDM,C,-3.1,70,195,-0.8197337272007869
Nikita Kucherov,kucheni01,TBL,RW,-3.1,71,178,-0.8197337272007869
Devin Shore,shorede01,DAL,C,-3.1,72,205,-0.8197337272007869
Brendan Smith,smithbr05,NYR,D,-3.1,74,211,-0.8197337272007869
Boo Nieves,nievecr01,NYR,C,-3.1,75,212,-0.8197337272007869
Mattias Ekholm,ekholma01,NSH,D,-3.1,76,215,-0.8197337272007869
Jonathan Ericsson,ericsjo01,DET,D,-3.1,76,220,-0.8197337272007869
Braydon Coburn,coburbr01,TBL,D,-3.1,77,223,-0.8197337272007869
Ben Harpur,harpube01,OTT,D,-3.1,78,222,-0.8197337272007869
Kris Versteeg,verstkr01,CGY,RW,-3.2,71,176,-0.8442188657735288
Antoine Vermette,vermean01,ANA,C,-3.2,73,197,-0.8442188657735288
Logan Shaw,shawlo01,TOT,RW,-3.2,75,208,-0.8442188657735288
Josh Manson,mansojo01,ANA,D,-3.2,75,213,-0.8442188657735288
Kyle Okposo,okposky01,BUF,RW,-3.3,72,220,-0.8687040043462706
Xavier Ouellet,ouellxa01,DET,D,-3.3,73,185,-0.8687040043462706
Andy Andreoff,andrean01,LAK,LW,-3.3,73,203,-0.8687040043462706
Travis Zajac,zajactr01,NJD,C,-3.3,74,185,-0.8687040043462706
Mike Reilly,reillmi01,MIN,D,-3.3,74,195,-0.8687040043462706
Justin Abdelkader,abdelju01,DET,LW,-3.3,74,214,-0.8687040043462706
Pontus Aberg,abergpo01,NSH,LW,-3.4,71,196,-0.8931891429190126
Johnny Oduya,oduyajo01,OTT,D,-3.4,72,191,-0.8931891429190126
Kevin Shattenkirk,shattke01,NYR,D,-3.4,72,200,-0.8931891429190126
Josh Bailey,bailejo01,NYI,RW,-3.4,73,203,-0.8931891429190126
Alec Martinez,martial01,LAK,D,-3.4,73,208,-0.8931891429190126
Chris Tanev,tanevch01,VAN,D,-3.4,74,195,-0.8931891429190126
Alexander Edler,edleral01,VAN,D,-3.4,75,214,-0.8931891429190126
Anthony Duclair,duclaan01,TOT,LW,-3.5,71,191,-0.9176742814917546
Luke Glendening,glendlu01,DET,RW,-3.5,71,192,-0.9176742814917546
T.J. Oshie,oshietj01,WSH,RW,-3.5,71,195,-0.9176742814917546
Frederick Gaudreau,gaudrfr01,NSH,C,-3.5,72,179,-0.9176742814917546
Thomas Hickey,hicketh01,NYI,D,-3.5,72,188,-0.9176742814917546
Derek Dorsett,dorsede01,VAN,RW,-3.5,72,192,-0.9176742814917546
Connor Brickley,brickco01,FLA,LW,-3.5,72,203,-0.9176742814917546
Robert Hagg,haggro01,PHI,D,-3.5,74,204,-0.9176742814917546
Dale Weise,weiseda01,PHI,RW,-3.5,74,206,-0.9176742814917546
Brendan Perlini,perlibr01,ARI,LW,-3.5,75,211,-0.9176742814917546
Scott Wilson,wilsosc01,TOT,C/LW,-3.6,71,183,-0.9421594200644965
Mike Hoffman,hoffmmi02,OTT,LW,-3.6,72,181,-0.9421594200644965
Alexandre Burrows,burroal01,OTT,RW,-3.6,73,197,-0.9421594200644965
Rickard Rakell,rakelri01,ANA,C,-3.6,74,198,-0.9421594200644965
Kurtis MacDermid,macdeku01,LAK,D,-3.6,77,233,-0.9421594200644965
Alexander Kerfoot,kerfoal01,COL,C,-3.7,70,175,-0.9666445586372384
Casey Cizikas,cizikca01,NYI,C,-3.7,71,200,-0.9666445586372384
Zack Smith,smithza01,OTT,LW,-3.7,74,208,-0.9666445586372384
Nick Jensen,jenseni02,DET,D,-3.8,72,194,-0.9911296972099803
Derek Stepan,stepade01,ARI,C,-3.8,72,196,-0.9911296972099803
Kevin Bieksa,biekske01,ANA,D,-3.8,73,197,-0.9911296972099803
Zack Kassian,kassiza01,EDM,RW,-3.8,75,209,-0.9911296972099803
Tomas Tatar,tatarto01,DET,LW,-3.9,70,185,-1.0156148357827224
Alexander Burmistrov,burmial01,VAN,C,-3.9,73,180,-1.0156148357827224
John Tavares,tavarjo01,NYI,C,-3.9,73,208,-1.0156148357827224
Andreas Athanasiou,athanan01,DET,LW,-3.9,74,188,-1.0156148357827224
Boone Jenner,jennebo01,CBJ,C,-3.9,74,206,-1.0156148357827224
Carl Soderberg,soderca01,COL,C,-3.9,75,210,-1.0156148357827224
Justin Falk,falkju01,BUF,D,-3.9,77,223,-1.0156148357827224
Oliver Ekman-Larsson,ekmanol01,ARI,D,-4,74,200,-1.0400999743554642
Corey Perry,perryco01,ANA,RW,-4,75,213,-1.0400999743554642
Patrik Nemeth,nemetpa01,COL,D,-4,75,219,-1.0400999743554642
Jesper Fast,fastje01,NYR,RW,-4.1,72,191,-1.064585112928206
Alex Pietrangelo,pietral01,STL,D,-4.1,75,210,-1.064585112928206
David Desharnais,deshada01,NYR,C,-4.2,67,180,-1.089070251500948
Jean-Gabriel Pageau,pageaje01,OTT,C,-4.2,70,184,-1.089070251500948
Jake Virtanen,virtaja01,VAN,RW,-4.2,73,229,-1.089070251500948
Artem Anisimov,anisiar01,CHI,C,-4.2,76,198,-1.089070251500948
Joel Ward,wardjo02,SJS,RW,-4.3,73,225,-1.1135553900736899
Adrian Kempe,kempead01,LAK,LW,-4.3,74,195,-1.1135553900736899
Luke Schenn,schenlu01,ARI,D,-4.3,74,229,-1.1135553900736899
Sami Vatanen,vatansa01,TOT,D,-4.4,70,185,-1.138040528646432
Trevor Daley,daleytr01,DET,D,-4.4,71,195,-1.138040528646432
Connor Brown,brownco02,TOR,RW,-4.4,72,185,-1.138040528646432
Kevin Connauton,connake01,ARI,D,-4.4,74,205,-1.138040528646432
Lars Eller,ellerla01,WSH,C,-4.4,74,207,-1.138040528646432
Benoit Pouliot,poulibe01,BUF,LW,-4.4,75,200,-1.138040528646432
Jordan Nolan,nolanjo01,BUF,LW,-4.4,75,219,-1.138040528646432
Brent Burns,burnsbr01,SJS,D,-4.4,77,230,-1.138040528646432
Viktor Arvidsson,arvidvi01,NSH,LW,-4.5,69,180,-1.162525667219174
Max Domi,domima01,ARI,LW,-4.5,70,195,-1.162525667219174
Evgeny Kuznetsov,kuzneev01,WSH,C,-4.5,74,204,-1.162525667219174
Keith Yandle,yandlke01,FLA,D,-4.6,73,196,-1.1870108057919158
Thomas Vanek,vanekth01,VAN,LW,-4.6,74,214,-1.1870108057919158
Alex Chiasson,chiasal01,WSH,RW,-4.6,76,208,-1.1870108057919158
Troy Stecher,stechtr01,VAN,D,-4.7,70,190,-1.2114959443646578
Melker Karlsson,karlsme01,SJS,C,-4.7,72,180,-1.2114959443646578
Cam Fowler,fowleca01,ANA,D,-4.7,73,215,-1.2114959443646578
Ben Hutton,huttobe01,VAN,D,-4.8,74,207,-1.2359810829373996
Danny DeKeyser,dekeyda01,DET,D,-4.8,75,192,-1.2359810829373996
Andrew Cogliano,coglian01,ANA,LW,-5,70,177,-1.2849513600828835
Tom Pyatt,pyattto01,OTT,LW,-5,71,185,-1.2849513600828835
Sven Baertschi,baertsv01,VAN,LW,-5,71,192,-1.2849513600828835
Jonathan Drouin,drouijo01,MTL,LW,-5,72,203,-1.2849513600828835
Nate Thompson,thompna01,OTT,C,-5,73,214,-1.2849513600828835
Scott Harrington,harrisc01,CBJ,D,-5.1,74,207,-1.3094364986556253
Sam Gagner,gagnesa01,VAN,C,-5.2,71,200,-1.3339216372283673
Jamie McGinn,mcginja01,FLA,LW,-5.2,73,205,-1.3339216372283673
Troy Brouwer,brouwtr01,CGY,RW,-5.3,75,215,-1.3584067758011094
Jay Beagle,beaglja01,WSH,RW,-5.4,75,218,-1.3828919143738514
Jack Johnson,johnsja02,CBJ,D,-5.5,73,227,-1.4073770529465932
Calle Jarnkrok,jarnkca01,NSH,C,-5.6,71,186,-1.431862191519335
J.T. Compher,comphj.01,COL,LW,-5.6,72,193,-1.431862191519335
Jakob Silfverberg,silfvja01,ANA,RW,-5.7,74,202,-1.456347330092077
Dylan Larkin,larkidy01,DET,C,-5.8,73,198,-1.4808324686648189
Mike Green,greenmi03,DET,D,-6,73,207,-1.5298027458103027
Sven Andrighetto,andrisv01,COL,RW,-6.1,70,188,-1.5542878843830448
Brock Nelson,nelsobr01,NYI,LW,-6.2,75,212,-1.5787730229557868
Frans Nielsen,nielsfr01,DET,C,-6.3,73,188,-1.6032581615285286
Steven Santini,santist01,NJD,D,-6.3,74,205,-1.6032581615285286
Brandon Sutter,suttebr03,VAN,C,-6.3,75,191,-1.6032581615285286
Jake McCabe,mccabja01,BUF,D,-6.5,73,210,-1.6522284386740125
Austin Watson,watsoau01,NSH,LW,-6.5,76,204,-1.6522284386740125
Dion Phaneuf,phanedi01,OTT,D,-6.5,76,225,-1.6522284386740125
Brandon Montour,montobr01,ANA,D,-6.6,72,192,-1.6767135772467543
Tobias Rieder,riedeto01,ARI,RW,-6.7,71,188,-1.7011987158194963
Adam Henrique,henriad01,TOT,C,-6.7,72,195,-1.7011987158194963
Chris Wagner,wagnech01,ANA,C,-6.8,72,198,-1.7256838543922381
Nick Leddy,leddyni01,NYI,D,-6.8,72,204,-1.7256838543922381
Francois Beauchemin,beaucfr01,ANA,D,-6.9,71,208,-1.7501689929649802
Blake Comeau,comeabl01,COL,LW,-7,73,202,-1.7746541315377222
Travis Hamonic,hamontr01,CGY,D,-7,74,205,-1.7746541315377222
Brett Connolly,connobr01,WSH,RW,-7,75,195,-1.7746541315377222
Anton Lindholm,lindhan01,COL,D,-7.1,71,191,-1.799139270110464
Cody Ceci,cecico01,OTT,D,-7.1,74,209,-1.799139270110464
Tyson Barrie,barrity01,COL,D,-7.2,70,190,-1.823624408683206
Jason Chimera,chimeja01,NYI,LW,-7.3,75,215,-1.848109547255948
Darren Helm,helmda01,DET,LW,-7.4,72,196,-1.87259468582869
Matthew Nieto,nietoma01,COL,LW,-7.5,71,190,-1.8970798244014317
Radim Vrbata,vrbatra01,FLA,RW,-7.6,73,194,-1.9215649629741736
Johan Larsson,larssjo02,BUF,C,-7.8,71,198,-1.9705352401196576
Aaron Ekblad,ekblaaa01,FLA,D,-7.8,76,216,-1.9705352401196576
Christian Dvorak,dvorach01,ARI,C,-8,72,195,-2.0195055172651415
Alex Goligoski,goligal01,ARI,D,-8.1,71,185,-2.0439906558378835
Nick Bonino,boninni01,NSH,C,-8.1,73,196,-2.0439906558378835
Matt Cullen,cullema01,MIN,C,-8.3,73,202,-2.0929609329833676
Alex Galchenyuk,galchal01,MTL,LW,-8.3,73,207,-2.0929609329833676
Markus Granlund,granlma01,VAN,C,-8.4,72,183,-2.1174460715561096
Madison Bowey,boweyma01,WSH,D,-8.4,74,198,-2.1174460715561096
John Carlson,carlsjo01,WSH,D,-8.7,75,218,-2.190901487274335
Erik Gudbranson,gudbrer01,VAN,D,-8.7,77,220,-2.190901487274335
Michael Del Zotto,delzomi01,VAN,D,-9.9,72,195,-2.4847231501472384
Brooks Orpik,orpikbr01,WSH,D,-12.8,75,217,-3.1947921687567544
