Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
523,Connor Murphy\murphco02,24,CHI,D,41,653,501,56.6,3.8,441,361,55.0,4.3,8.3,92.6,100.9,50.6,49.4,15:49,14:35,9,15,3.6,128,43.0
524,Ryan Murphy\murphry01,24,MIN,D,9,112,127,46.9,3.3,93,89,51.1,5.8,12.1,94.8,106.9,54.3,45.7,18:14,16:14,0,5,1.4,22,54.5
525,Ryan Murray\murrary01,24,CBJ,D,24,358,323,52.6,-0.1,279,227,55.1,1.8,7.2,95.2,102.4,49.1,50.9,17:28,15:14,4,9,4.3,54,44.4
526,Jake Muzzin\muzzija01,28,LAK,D,43,786,735,51.7,2.7,571,555,50.7,2.4,9.3,93.8,103.0,51.9,48.1,22:34,17:60,11,37,-2.3,215,43.7
527,Tyler Myers\myersty01,27,WPG,D,46,693,685,50.3,-0.3,517,513,50.2,-1.1,8.2,93.0,101.2,47.1,52.9,20:54,15:56,16,44,-1.4,162,50.6
528,Vladislav Namestnikov\namesvl01,25,TBL,C,45,700,629,52.7,0.6,521,488,51.6,-0.7,9.4,93.2,102.7,63.5,36.5,18:12,14:37,15,14,-2.0,146,67.1
529,Rick Nash\nashri01,33,NYR,RW,46,588,607,49.2,3.3,447,436,50.6,4.3,7.8,91.7,99.5,52.8,47.2,16:56,13:06,45,28,3.2,230,63.0
530,Riley Nash\nashri02,28,BOS,C,43,528,496,51.6,-1.3,404,350,53.6,1.3,8.9,92.4,101.3,44.7,55.3,15:28,12:59,38,4,5.9,109,61.5
531,James Neal\nealja01,30,VEG,LW,45,687,611,52.9,1.9,503,455,52.5,0.4,10.7,89.9,100.5,55.2,44.8,17:31,14:39,30,18,2.8,229,58.1
532,Martin Necas\necasma01,19,CAR,C,1,7,9,43.8,11.4,5,8,38.5,11.8,0.0,100.0,100.0,100.0,0.0,6:54,6:54,1,1,-1.0,0,
533,Brock Nelson\nelsobr01,26,NYI,LW,47,486,582,45.5,-4.0,340,432,44.0,-4.6,7.9,92.5,100.4,55.0,45.0,14:17,11:56,14,22,-6.2,153,52.3
534,Casey Nelson\nelsoca01,25,BUF,D,1,13,11,54.2,3.0,9,8,52.9,2.9,0.0,83.3,83.3,25.0,75.0,12:46,12:46,0,2,-0.2,4,25.0
535,Patrik Nemeth\nemetpa01,25,COL,D,30,416,532,43.9,-5.0,317,382,45.4,-2.9,13.9,92.9,106.8,39.6,60.4,18:53,15:24,5,11,-4.0,58,55.2
536,Aaron Ness\nessaa01,27,WSH,D,8,76,101,42.9,-4.4,62,82,43.1,-1.1,12.8,93.1,105.9,40.0,60.0,12:44,11:53,1,2,-1.1,3,66.7
537,Nino Niederreiter\niedeni01,25,MIN,RW,31,405,341,54.3,9.4,313,271,53.6,7.5,11.5,93.5,105.0,51.8,48.2,15:08,12:41,13,10,1.8,107,61.7
538,Frans Nielsen\nielsfr01,33,DET,C,44,461,523,46.8,-1.7,351,398,46.9,-2.8,6.1,92.2,98.3,42.3,57.7,15:51,12:51,15,15,-6.3,126,56.3
