Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
603,Benoit Pouliot\poulibe01,31,BUF,LW,43,461,516,47.2,-0.4,339,400,45.9,-2.1,5.6,90.4,96.1,52.4,47.6,14:36,12:05,23,18,-4.4,94,58.5
604,Derrick Pouliot\poulide01,24,VAN,D,39,578,551,51.2,4.5,437,405,51.9,5.9,7.3,89.0,96.3,59.2,40.8,18:40,16:15,14,40,-2.3,113,45.1
605,Shane Prince\princsh01,25,NYI,LW,12,102,149,40.6,-6.4,71,116,38.0,-7.2,3.8,94.6,98.3,54.9,45.1,12:07,11:03,5,4,-3.5,32,56.3
606,Nate Prosser\prossna01,31,TOT,D,22,197,285,40.9,-5.5,145,209,41.0,-6.8,4.8,96.8,101.5,45.8,54.2,13:48,12:10,5,6,2.7,26,30.8
607,Dalton Prout\proutda01,27,NJD,D,4,55,52,51.4,4.7,47,44,51.6,6.6,8.6,82.1,90.7,36.7,63.3,13:59,13:22,0,4,0.2,9,55.6
608,Ivan Provorov\provoiv01,21,PHI,D,45,821,862,48.8,-0.7,609,630,49.2,0.2,9.9,91.9,101.8,43.8,56.2,24:40,19:37,12,53,-2.7,221,49.3
609,Jesse Puljujarvi\puljuje01,19,EDM,RW,29,431,369,53.9,3.2,325,265,55.1,3.3,8.1,94.7,102.8,52.1,47.9,14:09,13:15,12,18,3.2,124,59.7
610,Ryan Pulock\pulocry01,23,NYI,D,33,447,475,48.5,1.8,331,363,47.7,1.9,8.0,87.6,95.6,50.0,50.0,16:46,14:57,14,17,-1.5,139,50.4
611,Tom Pyatt\pyattto01,30,OTT,LW,43,433,584,42.6,-7.1,318,399,44.4,-5.6,8.6,91.3,99.9,38.0,62.0,14:17,11:51,16,12,-5.0,88,68.2
612,Mark Pysyk\pysykma01,26,FLA,D,44,663,696,48.8,-0.9,528,514,50.7,0.9,8.5,88.7,97.2,40.8,59.2,18:45,16:23,17,20,1.1,120,51.7
613,Kyle Quincey\quincky01,32,MIN,D,18,159,225,41.4,-7.8,125,173,41.9,-8.3,6.5,90.7,97.2,44.8,55.2,14:17,11:44,6,16,-5.5,18,61.1
614,Alan Quine\quineal01,24,NYI,C,16,149,231,39.2,-9.9,110,182,37.7,-9.5,5.6,93.9,99.6,43.8,56.3,12:13,11:26,4,6,-3.9,27,44.4
615,Alexander Radulov\radulal01,31,DAL,RW,47,812,699,53.7,2.3,589,521,53.1,1.6,9.7,89.9,99.7,56.5,43.5,19:34,16:20,30,25,13.6,201,56.2
616,Michael Raffl\rafflmi01,29,PHI,LW,45,480,462,51.0,2.3,355,332,51.7,3.4,8.6,95.0,103.6,49.7,50.3,13:19,11:58,18,15,3.9,88,67.0
617,Rickard Rakell\rakelri01,24,ANA,C,42,636,730,46.6,-0.4,471,556,45.9,-2.0,11.0,89.5,100.5,49.8,50.2,19:33,16:24,18,28,-3.6,212,57.1
618,Mikko Rantanen\rantami01,21,COL,RW,44,652,598,52.2,6.3,477,443,51.8,6.5,11.3,90.1,101.4,56.8,43.2,18:30,14:24,26,18,1.9,169,60.9
619,Victor Rask\raskvi01,24,CAR,C,43,587,582,50.2,-5.1,423,427,49.8,-4.8,8.0,94.6,102.6,68.0,32.0,15:35,13:26,25,21,0.7,143,55.2
620,Dennis Rasmussen\rasmude01,27,ANA,C,27,168,223,43.0,-2.4,128,156,45.1,0.1,9.0,95.2,104.2,43.3,56.7,8:54,7:45,9,4,-3.0,32,59.4
621,Matt Read\readma01,31,PHI,RW,4,32,28,53.3,2.4,21,21,50.0,-0.6,7.1,100.0,107.1,63.2,36.8,10:54,9:22,0,1,-0.3,5,20.0
622,Ryan Reaves\reavery01,31,PIT,RW,48,271,296,47.8,-5.0,207,209,49.8,-3.8,6.5,88.4,94.9,44.6,55.4,6:44,6:41,3,4,2.4,51,52.9
623,Zach Redmond\redmoza01,29,BUF,D,3,34,37,47.9,-1.3,29,30,49.2,-0.2,12.0,91.3,103.3,58.6,41.4,14:29,14:16,1,0,0.8,10,70.0
624,Mike Reilly\reillmi01,24,MIN,D,31,237,348,40.5,-5.5,188,261,41.9,-5.5,6.4,93.5,99.9,55.6,44.4,12:19,10:33,3,11,-3.3,57,49.1
625,Sam Reinhart\reinhsa01,22,BUF,C,45,543,533,50.5,3.7,403,406,49.8,3.0,5.5,91.3,96.8,53.8,46.2,15:52,12:56,9,13,1.4,133,62.4
626,Brad Richardson\richabr02,32,ARI,C,41,454,521,46.6,-1.3,336,377,47.1,0.6,5.2,87.6,92.7,32.0,68.0,14:12,12:04,15,9,-0.4,95,58.9
627,Tobias Rieder\riedeto01,25,ARI,RW,47,580,700,45.3,-3.1,422,528,44.4,-2.9,7.4,90.5,97.9,42.1,57.9,15:28,13:31,8,6,-6.7,131,46.6
628,Morgan Rielly\riellmo01,23,TOR,D,47,931,842,52.5,4.0,690,641,51.8,5.4,8.4,90.9,99.2,46.5,53.5,22:02,18:11,17,41,3.8,247,46.6
629,Zac Rinaldo\rinalza01,27,ARI,LW,32,267,315,45.9,-1.2,194,233,45.4,-0.9,3.8,91.8,95.5,35.7,64.3,11:11,10:26,5,4,-1.6,64,59.4
630,Rasmus Ristolainen\ristora01,23,BUF,D,36,689,741,48.2,0.4,527,555,48.7,1.3,7.5,90.1,97.5,50.5,49.5,26:11,19:56,6,24,-1.9,185,48.6
631,Brett Ritchie\ritchbr01,24,DAL,RW,38,355,263,57.4,5.8,255,192,57.0,5.7,7.0,93.7,100.7,48.5,51.5,10:43,9:22,4,6,2.4,110,52.7
632,Nick Ritchie\ritchni01,22,ANA,LW,41,483,518,48.3,2.3,379,384,49.7,3.8,7.7,92.0,99.7,51.8,48.2,13:35,12:12,7,14,-0.7,125,51.2
633,Jack Rodewald\rodewja01,23,OTT,RW,4,17,23,42.5,-10.8,13,13,50.0,-3.1,0.0,88.9,88.9,40.0,60.0,7:18,7:11,2,2,-0.3,3,0.0
634,Evan Rodrigues\rodriev01,24,BUF,LW,17,166,182,47.7,2.4,124,145,46.1,0.3,5.4,89.5,94.9,42.1,57.9,13:24,11:08,2,1,-2.8,53,50.9
635,Calle Rosen\rosenca01,23,TOR,D,4,52,37,58.4,-0.2,36,32,52.9,-7.7,4.5,84.6,89.2,65.6,34.4,12:47,12:22,2,1,-0.9,13,38.5
636,Jack Roslovic\rosloja01,21,WPG,C,4,30,23,56.6,6.6,22,19,53.7,3.5,0.0,78.6,78.6,29.4,70.6,10:19,7:56,2,0,-0.3,8,75.0
637,Antoine Roussel\roussan01,28,DAL,LW,41,448,374,54.5,4.0,309,270,53.4,2.4,7.7,92.3,100.0,40.9,59.1,12:03,10:54,12,12,4.4,97,54.6
638,Carter Rowney\rowneca01,28,PIT,RW,27,191,216,46.9,-5.4,139,152,47.8,-5.4,3.8,88.7,92.5,29.9,70.1,10:30,7:47,2,5,-0.5,31,51.6
639,Kevin Roy\royke01,24,ANA,LW,25,250,319,43.9,-3.2,184,246,42.8,-4.4,8.9,95.1,104.0,47.0,53.0,13:39,12:21,13,7,-2.3,53,49.1
640,Chad Ruhwedel\ruhwech01,27,PIT,D,30,462,422,52.3,-0.5,363,315,53.5,-0.3,4.5,91.6,96.1,54.8,45.2,15:51,14:53,10,8,1.4,95,50.5
641,Kris Russell\russekr01,30,EDM,D,46,743,750,49.8,-4.3,552,519,51.5,-2.7,7.2,91.0,98.2,53.0,47.0,18:46,16:05,9,48,-1.5,123,49.6
642,Bryan Rust\rustbr01,25,PIT,RW,38,522,437,54.4,3.2,380,323,54.1,1.2,5.2,89.6,94.8,50.3,49.7,15:42,12:51,16,12,0.5,117,51.3
643,Jan Rutta\ruttaja02,27,CHI,D,38,662,646,50.6,-4.9,461,506,47.7,-6.6,7.8,91.6,99.4,52.2,47.8,19:39,16:30,8,25,-2.4,119,42.0
644,Bobby Ryan\ryanbo01,30,OTT,RW,33,445,457,49.3,2.3,318,329,49.1,1.1,10.5,88.4,98.9,54.2,45.8,16:31,13:22,13,22,4.3,119,47.1
645,Derek Ryan\ryande01,31,CAR,C,43,653,483,57.5,4.7,491,371,57.0,5.0,8.1,86.3,94.3,63.3,36.7,16:13,13:39,31,26,5.8,148,58.1
646,Joakim Ryan\ryanjo02,24,SJS,D,35,608,503,54.7,2.8,439,366,54.5,1.8,5.6,95.0,100.7,61.0,39.0,16:08,15:27,10,10,0.7,111,51.4
647,Brandon Saad\saadbr01,25,CHI,LW,45,772,543,58.7,7.2,533,423,55.8,5.8,8.8,91.9,100.7,61.2,38.8,17:59,13:18,22,7,3.1,225,60.0
648,Miikka Salomaki\salommi01,24,NSH,RW,29,243,236,50.7,0.8,172,170,50.3,0.5,9.2,90.8,99.9,33.7,66.3,10:30,9:59,7,4,-1.8,52,51.9
649,Travis Sanheim\sanhetr01,21,PHI,D,35,503,425,54.2,7.5,382,324,54.1,7.8,5.5,89.0,94.5,56.2,43.8,15:16,14:16,8,22,2.5,110,43.6
650,Steven Santini\santist01,22,NJD,D,36,428,686,38.4,-13.0,328,480,40.6,-10.9,8.4,93.6,101.9,27.5,72.5,20:16,17:01,4,13,-6.3,86,65.1
651,David Savard\savarda01,27,CBJ,D,46,751,848,47.0,-6.5,571,617,48.1,-6.7,7.6,92.0,99.6,42.5,57.5,20:02,17:37,12,17,-2.7,147,57.1
652,Luca Sbisa\sbisalu01,28,VEG,D,24,365,451,44.7,-7.7,282,329,46.2,-6.1,9.5,93.2,102.7,39.0,61.0,19:55,16:38,12,13,-0.8,48,45.8
653,Marco Scandella\scandma01,27,BUF,D,45,784,874,47.3,-0.7,600,666,47.4,-0.4,6.6,92.0,98.6,48.7,51.3,23:48,19:24,13,24,-2.4,184,46.2
654,Colton Sceviour\scevico01,28,FLA,RW,38,378,432,46.7,-4.1,303,311,49.3,-1.6,5.2,93.0,98.1,43.5,56.5,13:35,11:04,15,10,-1.1,107,69.2
655,Tim Schaller\schalti01,27,BOS,C,44,438,447,49.5,-3.8,332,325,50.5,-2.4,6.6,91.4,98.0,38.8,61.2,13:13,11:14,17,15,6.2,105,65.7
656,Mark Scheifele\scheima01,24,WPG,C,38,617,624,49.7,-1.2,458,466,49.6,-2.2,10.0,92.4,102.4,51.2,48.8,20:59,16:29,31,21,1.6,148,56.8
657,Brayden Schenn\schenbr01,26,STL,C,48,807,691,53.9,3.8,607,498,54.9,2.8,11.4,92.5,104.0,63.2,36.8,19:31,15:31,35,27,4.2,207,59.9
658,Luke Schenn\schenlu01,28,ARI,D,45,568,690,45.2,-3.8,408,510,44.4,-3.3,3.8,93.1,97.0,40.8,59.2,15:36,13:50,8,20,-4.3,110,37.3
659,Nikita Scherbak\scherni01,22,MTL,RW,2,8,19,29.6,-30.5,5,12,29.4,-30.9,0.0,100.0,100.0,33.3,66.7,7:59,7:59,3,0,-0.5,2,0.0
660,David Schlemko\schleda01,30,MTL,D,19,296,319,48.1,-3.5,193,229,45.7,-5.8,9.9,94.0,103.9,53.4,46.6,18:29,15:58,6,13,0.3,46,32.6
661,Jordan Schmaltz\schmajo01,24,STL,D,4,34,38,47.2,-1.8,23,24,48.9,-0.7,5.3,94.7,100.0,62.9,37.1,12:41,11:53,0,1,1.2,2,0.0
662,Nick Schmaltz\schmani01,21,CHI,LW,41,652,541,54.7,-0.1,462,424,52.1,-0.8,8.3,92.7,101.0,63.5,36.5,18:29,14:14,52,17,2.3,116,55.2
663,Nate Schmidt\schmina01,26,VEG,D,45,841,831,50.3,-2.1,623,599,51.0,-1.9,10.4,91.9,102.3,44.0,56.0,22:31,18:01,33,28,5.2,152,42.8
664,Jordan Schroeder\schrojo01,27,CBJ,LW,19,131,138,48.7,-2.2,99,103,49.0,-4.2,2.7,91.8,94.4,60.7,39.3,7:33,7:24,5,2,-0.5,29,69.0
665,Justin Schultz\schulju01,27,PIT,D,31,485,513,48.6,-3.7,366,357,50.6,-2.3,9.7,90.7,100.4,52.8,47.2,18:54,16:25,7,15,5.6,112,48.2
666,Jaden Schwartz\schwaja01,25,STL,LW,30,498,376,57.0,6.8,384,275,58.3,6.7,13.0,94.7,107.7,65.2,34.8,19:12,14:46,25,9,5.4,109,57.8
667,Brent Seabrook\seabrbr01,32,CHI,D,44,753,705,51.6,-2.9,525,513,50.6,-1.4,8.9,93.0,102.0,56.2,43.8,19:51,15:35,14,39,3.0,162,42.6
668,Daniel Sedin\sedinda01,37,VAN,LW,44,549,436,55.7,10.5,411,347,54.2,9.1,7.2,89.3,96.5,75.3,24.7,15:12,12:09,11,22,1.7,168,58.9
669,Henrik Sedin\sedinhe01,37,VAN,C,45,557,468,54.3,8.6,415,367,53.1,7.5,7.9,88.5,96.4,74.6,25.4,15:28,12:27,5,16,2.2,61,55.7
670,Lukas Sedlak\sedlalu01,24,CBJ,LW,34,271,272,49.9,-1.9,210,199,51.3,-1.7,9.6,89.5,99.1,39.4,60.6,10:20,9:20,8,7,1.8,62,61.3
671,Tyler Seguin\seguity01,26,DAL,C,47,738,710,51.0,-1.9,537,523,50.7,-2.0,10.6,91.1,101.6,46.4,53.6,20:18,15:44,27,18,5.4,308,62.0
672,Dennis Seidenberg\seidede01,36,NYI,D,18,243,330,42.4,-9.4,183,261,41.2,-10.8,10.2,91.1,101.2,48.2,51.8,17:57,15:14,1,14,-5.9,40,52.5
673,Andrej Sekera\sekeran01,31,EDM,D,11,184,172,51.7,1.8,131,134,49.4,-3.0,1.0,88.2,89.2,54.3,45.7,17:49,15:23,2,5,-1.8,35,34.3
674,Mikhail Sergachev\sergami01,19,TBL,D,45,683,574,54.3,2.9,511,437,53.9,2.5,8.6,94.2,102.8,71.1,28.9,15:49,13:54,14,40,6.0,197,45.2
675,Damon Severson\severda01,23,NJD,D,41,703,662,51.5,5.8,545,496,52.4,5.6,9.5,89.7,99.2,57.1,42.9,19:36,17:16,17,27,4.8,134,53.7
676,Patrick Sharp\sharppa01,36,CHI,LW,42,489,440,52.6,-1.3,347,326,51.6,-0.2,5.8,90.9,96.7,61.9,38.1,13:19,11:01,11,8,0.8,152,57.2
677,Kevin Shattenkirk\shattke01,29,NYR,D,46,701,776,47.5,1.0,530,585,47.5,0.2,7.7,90.1,97.8,65.4,34.6,20:16,17:00,24,61,-3.4,188,50.0
678,Andrew Shaw\shawan01,26,MTL,RW,43,607,554,52.3,1.7,428,409,51.1,0.8,7.1,89.8,97.0,55.5,44.5,16:09,13:29,17,24,3.1,131,63.4
679,Logan Shaw\shawlo01,26,TOT,RW,43,345,387,47.1,0.3,262,292,47.3,0.3,6.6,92.2,98.8,46.3,53.7,11:29,9:21,12,16,-3.2,113,52.2
680,Riley Sheahan\sheahri01,26,TOT,C,47,501,500,50.0,-3.4,380,367,50.9,-3.4,7.2,91.3,98.6,33.3,66.8,14:27,11:24,17,10,-0.5,98,55.1
681,Conor Sheary\shearco01,25,PIT,LW,48,652,612,51.6,-0.8,501,455,52.4,-1.0,5.8,89.8,95.5,54.5,45.5,14:46,13:18,25,23,4.8,159,56.0
682,Vadim Shipachyov\shipava01,30,VEG,LW,3,29,31,48.3,6.3,23,24,48.9,7.1,21.4,100.0,121.4,61.1,38.9,10:35,9:33,0,0,0.3,8,37.5
683,Devin Shore\shorede01,23,DAL,C,47,485,558,46.5,-7.5,350,401,46.6,-7.1,6.3,89.4,95.7,44.3,55.7,15:58,12:34,17,13,-3.1,131,53.4
684,Nick Shore\shoreni01,25,LAK,C,43,551,517,51.6,1.7,415,376,52.5,3.5,6.6,91.6,98.2,38.6,61.4,14:52,12:48,16,18,-0.9,87,54.0
685,Duncan Siemens\siemedu01,24,COL,D,1,5,5,50.0,0.0,4,5,44.4,-1.3,0.0,100.0,100.0,0.0,100.0,6:58,6:26,0,1,-0.4,0,
686,Jakob Silfverberg\silfvja01,27,ANA,RW,42,596,635,48.4,2.3,443,463,48.9,2.1,7.0,93.3,100.3,41.2,58.8,18:24,14:12,22,28,-5.7,208,54.3
687,Wayne Simmonds\simmowa01,29,PHI,RW,45,559,595,48.4,-1.0,416,447,48.2,-1.2,8.3,91.3,99.6,47.9,52.1,18:30,13:34,23,16,-1.5,169,61.5
688,Dominik Simon\simondo01,23,PIT,C,13,195,135,59.1,5.6,150,90,62.5,10.4,6.5,88.1,94.6,48.5,51.5,12:30,11:41,4,1,2.4,34,55.9
689,Colton Sissons\sissoco01,24,NSH,C,43,488,518,48.5,-1.2,359,373,49.0,-0.4,7.3,93.5,100.8,34.0,66.0,16:50,12:13,14,15,-1.0,110,59.1
690,Jeff Skinner\skinnje01,25,CAR,LW,45,743,605,55.1,1.8,536,461,53.8,0.8,6.8,87.2,93.9,69.4,30.6,17:05,14:45,45,36,5.6,287,55.1
691,Brady Skjei\skjeibr01,23,NYR,D,46,762,843,47.5,1.1,584,622,48.4,1.6,8.3,92.5,100.8,62.1,37.9,19:60,17:56,15,34,1.3,156,58.3
692,Jaccob Slavin\slavija01,23,CAR,D,45,860,778,52.5,-2.1,642,588,52.2,-1.6,7.5,89.4,96.9,46.2,53.8,22:58,19:34,41,26,-0.2,145,53.8
693,Anton Slepyshev\slepyan01,23,EDM,LW,18,245,206,54.3,1.3,184,149,55.3,1.8,4.5,91.2,95.7,59.3,40.7,11:48,11:25,7,6,0.7,48,43.8
694,Brendan Smith\smithbr05,28,NYR,D,36,510,572,47.1,0.5,398,439,47.6,0.4,10.3,92.6,102.9,50.3,49.7,17:13,15:33,19,41,-3.1,95,56.8
695,Craig Smith\smithcr01,28,NSH,RW,43,609,489,55.5,8.3,467,367,56.0,9.1,7.1,91.9,99.1,53.8,46.2,15:38,13:10,33,14,6.4,215,59.5
696,Gemel Smith\smithge02,23,DAL,C,29,246,212,53.7,1.5,179,146,55.1,4.0,8.0,94.1,102.0,46.2,53.8,9:42,9:30,7,4,2.8,40,67.5
697,Reilly Smith\smithre01,26,VEG,RW,45,664,551,54.7,4.2,497,417,54.4,3.0,12.5,91.7,104.2,48.5,51.5,18:01,13:32,44,39,7.0,185,54.6
698,Zack Smith\smithza01,29,OTT,LW,29,372,421,46.9,-0.1,294,305,49.1,1.3,4.4,88.6,93.0,48.6,51.4,16:24,13:13,10,13,-3.7,106,55.7
699,Devante Smith-Pelly\smithde06,25,WSH,RW,44,475,567,45.6,-3.3,369,428,46.3,-0.2,8.5,92.0,100.5,45.8,54.2,12:47,11:47,9,16,-1.2,128,55.5
700,Vladimir Sobotka\sobotvl01,30,STL,LW,48,674,663,50.4,-1.2,507,481,51.3,-2.4,7.2,92.3,99.5,50.1,49.9,17:37,14:37,13,8,-0.6,144,62.5
701,Carl Soderberg\soderca01,32,COL,C,41,484,520,48.2,0.0,343,368,48.2,0.5,9.0,93.4,102.4,32.4,67.6,17:08,12:24,24,9,-3.9,137,56.2
702,Marcus Sorensen\sorenma01,25,SJS,LW,15,109,130,45.6,-9.8,77,99,43.8,-10.7,5.6,92.0,97.6,47.8,52.2,10:34,8:51,8,5,-1.9,21,47.6
703,Nikita Soshnikov\soshnni01,24,TOR,RW,3,10,45,18.2,-29.8,8,39,17.0,-29.3,0.0,92.3,92.3,11.1,88.9,10:26,9:31,1,0,-1.6,1,0.0
704,Jason Spezza\spezzja01,34,DAL,C,46,557,420,57.0,6.1,374,306,55.0,3.7,8.4,91.6,100.0,59.3,40.7,13:29,11:21,9,21,0.6,178,47.8
705,Ryan Spooner\spoonry01,26,BOS,C,24,256,236,52.0,-0.9,191,187,50.5,-2.7,12.2,92.9,105.1,80.1,19.9,13:53,10:53,7,10,0.9,62,67.7
706,Daniel Sprong\spronda01,20,PIT,RW,8,115,67,63.2,10.9,88,40,68.8,17.9,8.2,90.0,98.2,49.3,50.7,13:59,12:46,0,2,3.8,33,66.7
707,Jared Spurgeon\spurgja01,28,MIN,D,37,656,678,49.2,4.3,498,487,50.6,5.5,7.4,91.7,99.1,47.6,52.4,24:59,19:03,18,12,4.4,153,47.7
708,Eric Staal\staaler01,33,MIN,C,46,644,654,49.6,5.0,505,497,50.4,4.7,10.5,89.7,100.2,47.7,52.3,18:12,14:22,31,14,2.5,210,61.9
709,Jordan Staal\staaljo01,29,CAR,C,45,727,612,54.3,0.7,544,473,53.5,0.4,8.4,90.4,98.8,47.2,52.8,19:36,15:01,33,24,5.5,167,63.5
710,Marc Staal\staalma01,31,NYR,D,45,579,695,45.4,-1.8,442,517,46.1,-1.8,9.1,93.7,102.8,41.1,58.9,18:01,14:56,21,26,-0.7,93,43.0
711,Drew Stafford\staffdr01,32,NJD,RW,33,369,410,47.4,-0.5,280,317,46.9,-2.2,5.8,89.6,95.4,47.1,52.9,14:54,12:40,9,12,-0.2,109,63.3
712,Matt Stajan\stajama01,34,CGY,C,35,301,312,49.1,-3.2,229,221,50.9,-0.6,3.3,95.9,99.1,37.4,62.6,11:03,9:18,14,8,-2.9,50,66.0
713,Steven Stamkos\stamkst01,27,TBL,C,45,767,627,55.0,4.1,580,485,54.5,3.4,10.8,92.2,103.0,64.8,35.2,18:58,15:08,17,34,3.3,256,51.6
714,Paul Stastny\stastpa01,32,STL,C,48,775,642,54.7,4.9,580,468,55.3,3.4,8.5,89.0,97.5,55.0,45.0,18:57,15:01,31,11,4.7,161,68.9
715,Troy Stecher\stechtr01,23,VAN,D,31,460,461,49.9,2.8,347,364,48.8,1.4,6.8,92.4,99.2,53.7,46.3,16:57,15:49,9,18,-4.7,106,42.5
716,Alex Steen\steenal01,33,STL,LW,42,647,532,54.9,3.6,487,373,56.6,3.6,7.4,87.2,94.6,52.6,47.4,18:48,14:32,23,11,5.2,174,60.9
717,Lee Stempniak\stemple01,34,CAR,RW,2,21,26,44.7,-7.3,11,21,34.4,-20.7,11.1,80.0,91.1,72.7,27.3,13:27,12:02,2,1,-0.1,5,80.0
718,Derek Stepan\stepade01,27,ARI,C,47,752,762,49.7,3.1,544,600,47.6,1.5,8.7,88.5,97.2,50.6,49.4,19:35,15:47,23,18,-3.8,217,58.1
719,Chandler Stephenson\stephch02,23,WSH,C,34,319,390,45.0,-3.4,239,280,46.1,-0.8,10.3,94.2,104.6,40.7,59.3,12:02,11:17,10,11,-0.5,29,48.3
720,Chris Stewart\stewach02,30,MIN,RW,42,329,486,40.4,-6.9,252,351,41.8,-6.7,9.8,90.7,100.6,50.4,49.6,10:45,10:15,6,9,-0.3,79,70.9
721,Mark Stone\stonema01,25,OTT,RW,43,716,696,50.7,4.1,517,517,50.0,2.0,11.4,89.6,101.0,54.2,45.8,20:50,16:20,47,33,3.0,178,56.7
722,Michael Stone\stonemi01,27,CGY,D,45,606,636,48.8,-4.5,439,454,49.2,-3.3,7.3,92.9,100.3,46.8,53.2,16:21,13:43,8,18,-0.4,137,37.2
723,Anton Stralman\stralan01,31,TBL,D,43,779,714,52.2,-0.1,587,560,51.2,-1.6,10.6,92.1,102.7,59.5,40.5,21:00,17:52,14,14,2.9,142,52.8
724,Mark Streit\streima01,40,MTL,D,2,29,19,60.4,6.8,25,17,59.5,8.0,0.0,80.0,80.0,76.5,23.5,14:13,12:08,0,0,-0.1,4,75.0
725,Dylan Strome\stromdy01,20,ARI,C,11,115,135,46.0,2.1,90,97,48.1,6.0,3.2,96.8,100.0,61.4,38.6,12:26,11:05,7,0,0.7,27,44.4
726,Ryan Strome\stromry01,24,EDM,RW,46,568,505,52.9,0.4,412,360,53.4,0.0,7.3,91.8,99.2,56.4,43.6,14:29,12:27,18,28,-0.1,130,60.0
727,P.K. Subban\subbapk01,28,NSH,D,44,746,719,50.9,2.0,577,537,51.8,3.4,8.8,92.5,101.4,40.9,59.1,24:13,17:47,24,47,2.0,221,46.6
728,Oskar Sundqvist\sundqos01,23,STL,C,30,248,271,47.8,-4.5,200,194,50.8,-2.1,4.5,93.4,97.9,33.9,66.1,11:27,9:46,17,3,2.4,55,60.0
729,Andrej Sustr\sustran01,27,TBL,D,22,255,241,51.4,1.2,169,183,48.0,-3.0,5.0,91.8,96.8,40.7,59.3,12:11,11:36,3,5,-1.6,43,46.5
730,Ryan Suter\suterry01,33,MIN,D,46,881,908,49.2,5.4,669,668,50.0,5.0,8.3,91.3,99.5,47.6,52.4,26:49,20:19,10,20,2.2,199,49.2
731,Brandon Sutter\suttebr03,28,VAN,C,24,242,329,42.4,-8.5,189,247,43.3,-6.2,8.4,93.4,101.8,27.9,72.1,17:04,14:01,9,5,-6.3,69,63.8
732,Jordan Szwarz\szwarjo01,26,BOS,RW,10,86,97,47.0,-7.2,69,78,46.9,-6.9,7.5,85.4,93.0,50.8,49.2,12:08,10:55,3,0,1.3,21,85.7
733,Brandon Tanev\tanevbr01,26,WPG,LW,39,390,338,53.6,4.0,291,234,55.4,5.6,6.9,94.3,101.2,41.6,58.4,13:06,10:59,17,8,7.3,95,57.9
734,Chris Tanev\tanevch01,28,VAN,D,29,389,406,48.9,0.6,296,321,48.0,0.2,11.2,91.5,102.7,42.6,57.4,19:54,16:39,10,11,-3.4,39,64.1
735,Vladimir Tarasenko\tarasvl01,26,STL,RW,48,819,727,53.0,2.6,617,515,54.5,2.2,11.4,92.8,104.2,69.7,30.3,19:48,15:49,17,17,1.6,399,49.4
736,Tomas Tatar\tatarto01,27,DET,LW,44,600,572,51.2,4.3,476,427,52.7,5.3,7.3,89.6,96.9,52.2,47.8,17:08,14:39,26,23,-3.9,190,55.3
737,John Tavares\tavarjo01,27,NYI,C,47,729,724,50.2,2.4,531,566,48.4,1.1,13.1,88.4,101.5,54.7,45.3,20:18,15:02,26,47,-3.9,270,53.7
738,Matt Tennyson\tennyma01,27,BUF,D,14,190,215,46.9,-1.5,136,168,44.7,-4.9,8.7,85.8,94.5,47.6,52.4,18:16,15:39,1,5,-3.2,45,53.3
739,Teuvo Teravainen\teravte01,23,CAR,LW,45,639,513,55.5,2.2,478,410,53.8,0.8,9.1,89.0,98.1,59.2,40.8,16:50,13:50,29,14,2.0,172,55.8
740,Shea Theodore\theodsh01,22,VEG,D,30,533,458,53.8,0.4,397,340,53.9,-0.6,8.6,91.9,100.6,55.9,44.1,19:37,16:27,10,21,3.6,107,55.1
741,Nate Thompson\thompna01,33,OTT,C,40,297,386,43.5,-6.3,225,261,46.3,-3.8,10.6,90.4,101.0,40.3,59.7,12:30,10:03,12,6,-5.0,51,51.0
742,Tage Thompson\thompta01,20,STL,C,17,199,200,49.9,1.5,151,139,52.1,0.9,5.6,89.9,95.5,47.5,52.5,13:01,11:30,12,5,0.8,59,54.2
743,Chris Thorburn\thorbch01,34,STL,RW,26,173,207,45.5,-6.0,129,146,46.9,-5.9,6.3,90.4,96.6,31.7,68.3,7:28,7:26,5,5,-1.0,33,69.7
744,Joe Thornton\thornjo01,38,SJS,C,44,733,605,54.8,3.1,519,419,55.3,3.7,7.0,88.5,95.6,58.0,42.0,18:23,14:38,32,53,0.5,121,59.5
745,Chris Tierney\tiernch01,23,SJS,C,44,579,500,53.7,1.4,435,371,54.0,1.7,6.1,92.7,98.9,58.5,41.5,15:33,12:54,36,29,3.6,100,68.0
746,Owen Tippett\tippeow01,18,FLA,RW,7,57,73,43.8,-3.3,44,60,42.3,-4.7,3.1,85.7,88.8,47.1,52.9,11:07,9:20,2,2,-2.6,31,54.8
747,Matthew Tkachuk\tkachma01,20,CGY,LW,43,727,542,57.3,7.0,544,408,57.1,7.6,7.5,90.1,97.6,44.5,55.5,16:33,14:06,25,20,3.9,176,61.9
748,Jonathan Toews\toewsjo01,29,CHI,C,45,824,610,57.5,5.6,559,478,53.9,3.3,9.0,92.3,101.4,58.7,41.3,19:43,14:23,33,24,3.1,212,61.3
749,Tyler Toffoli\toffoty01,25,LAK,C,46,673,642,51.2,1.5,505,510,49.8,0.5,9.9,93.1,103.0,61.5,38.5,16:16,13:42,15,22,-0.5,245,59.6
