Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
109,Allen Crabbe\crabbal01,SG,25,BRK,41,1193,10.9,.542,.656,.193,1.4,14.6,7.9,9.2,1.1,0.8,10.1,18.1,,0.6,1.0,1.6,.066,,-0.2,-0.5,-0.7,0.4
110,Torrey Craig\craigto01,SF,27,DEN,15,225,8.6,.548,.600,.475,3.4,15.1,9.2,7.2,1.5,1.1,14.2,10.9,,0.2,0.2,0.4,.076,,-2.0,-0.2,-2.2,0.0
111,Jamal Crawford\crawfja01,SG,37,MIN,47,880,13.8,.517,.419,.178,0.9,6.0,3.4,19.4,1.4,0.6,10.8,24.4,,0.7,0.3,1.0,.055,,0.1,-4.0,-4.0,-0.4
112,Jordan Crawford\crawfjo02,SG,29,NOP,2,37,16.1,.643,.357,.000,6.3,2.9,4.6,36.6,0.0,2.2,22.2,21.3,,0.1,0.0,0.1,.125,,1.5,-5.0,-3.6,0.0
113,Jae Crowder\crowdja01,SF,27,CLE,44,1119,10.0,.530,.508,.230,3.8,10.5,7.2,6.0,1.6,0.8,9.3,15.3,,0.7,0.5,1.2,.052,,-0.8,-1.3,-2.1,0.0
114,Dante Cunningham\cunnida01,SF,30,NOP,43,948,8.6,.523,.497,.166,5.2,14.0,9.8,3.2,1.1,1.3,5.6,9.8,,0.7,0.6,1.2,.062,,-1.5,-0.4,-1.9,0.0
115,Stephen Curry\curryst01,PG,29,GSW,31,1014,29.3,.675,.561,.382,2.3,14.6,9.0,31.0,2.4,0.3,12.5,31.3,,5.0,1.3,6.2,.295,,10.3,-1.2,9.1,2.9
116,Troy Daniels\danietr01,SG,26,PHO,45,846,10.5,.607,.802,.121,0.5,6.3,3.3,4.5,0.6,0.2,9.0,17.2,,1.1,-0.1,1.1,.060,,1.5,-4.1,-2.6,-0.1
117,Anthony Davis\davisan02,PF,24,NOP,38,1370,28.8,.636,.113,.455,8.5,23.6,16.4,10.9,1.5,4.8,8.5,27.9,,5.4,1.8,7.2,.251,,3.6,1.2,4.7,2.3
118,Deyonta Davis\davisde01,C,21,MEM,30,351,17.3,.651,.000,.250,8.6,22.7,15.6,6.3,1.0,5.8,14.3,15.5,,0.7,0.5,1.1,.153,,-2.0,1.8,-0.2,0.2
119,Ed Davis\davised01,C,28,POR,45,820,14.6,.572,.000,.399,14.3,26.1,20.3,3.2,1.3,2.8,16.1,12.6,,1.1,1.3,2.5,.146,,-2.2,1.4,-0.8,0.2
120,Dewayne Dedmon\dedmode01,C,28,ATL,25,594,17.5,.627,.218,.197,9.3,28.4,18.8,9.6,0.9,3.0,15.3,18.3,,1.0,0.6,1.6,.133,,-0.2,0.7,0.5,0.4
121,Sam Dekker\dekkesa01,PF,23,LAC,40,595,11.1,.504,.296,.207,5.0,15.3,10.2,6.2,1.7,1.0,10.1,15.9,,0.2,0.5,0.7,.059,,-2.4,-0.4,-2.8,-0.1
122,Malcolm Delaney\delanma01,PG,28,ATL,36,690,10.0,.520,.429,.314,1.0,10.5,5.7,18.4,1.6,0.3,14.5,16.2,,0.4,0.3,0.7,.046,,-1.8,-1.8,-3.6,-0.3
123,Matthew Dellavedova\dellama01,PG,27,MIL,29,531,9.1,.502,.480,.138,2.9,7.3,5.1,28.7,0.8,0.2,22.6,14.5,,0.2,0.1,0.3,.028,,-2.0,-4.1,-6.1,-0.5
124,Luol Deng\denglu01,SF,32,LAL,1,13,5.6,.500,.000,.000,0.0,0.0,0.0,10.2,3.6,0.0,33.3,9.7,,0.0,0.0,0.0,-0.019,,-7.4,-1.6,-9.0,0.0
125,DeMar DeRozan\derozde01,SG,28,TOR,43,1490,23.5,.577,.173,.420,2.7,10.6,6.7,24.3,1.6,0.7,9.6,30.2,,4.8,1.5,6.3,.202,,4.0,-0.9,3.1,1.9
126,Cheick Diallo\diallch01,PF,21,NOP,22,147,12.3,.586,.000,.356,8.8,25.0,17.2,5.0,0.3,0.6,13.3,17.9,,0.2,0.1,0.3,.090,,-3.8,-2.9,-6.8,-0.2
127,Gorgui Dieng\dienggo01,C,28,MIN,44,801,15.4,.556,.178,.307,9.1,21.8,15.3,8.7,1.9,2.1,13.0,16.3,,1.1,0.9,2.0,.121,,-0.4,0.8,0.3,0.5
128,Spencer Dinwiddie\dinwisp01,PG,24,BRK,44,1242,17.0,.524,.516,.286,2.1,10.2,6.1,36.8,1.4,1.0,10.1,21.1,,2.7,1.0,3.7,.143,,3.0,-1.3,1.7,1.2
129,Tyler Dorsey\dorsety01,SG,21,ATL,18,136,7.0,.450,.615,.154,2.5,14.4,8.4,8.6,0.7,0.6,9.8,19.9,,-0.1,0.0,-0.1,-0.025,,-3.7,-3.5,-7.2,-0.2
130,Damyean Dotson\dotsoda01,SG,23,NYK,20,175,9.5,.516,.431,.059,2.6,14.4,8.7,7.4,0.9,0.5,7.1,14.2,,0.1,0.1,0.2,.061,,-1.6,-1.7,-3.2,-0.1
131,Milton Doyle\doylemi01,SG,24,BRK,6,63,4.6,.342,.520,.120,3.3,11.9,7.5,9.4,1.5,1.2,7.1,19.2,,-0.2,0.1,-0.1,-0.073,,-5.9,-1.2,-7.1,-0.1
132,Goran Dragic\dragigo01,PG,31,MIA,41,1315,16.1,.529,.289,.254,2.5,12.6,7.6,26.5,1.4,0.5,13.3,26.8,,1.0,1.2,2.2,.082,,0.6,-0.9,-0.3,0.6
133,Andre Drummond\drumman01,C,24,DET,41,1347,23.5,.570,.007,.438,16.4,35.6,25.7,18.2,2.4,3.3,17.9,21.0,,2.8,2.9,5.7,.201,,1.3,5.6,6.9,3.1
134,Jared Dudley\dudleja01,PF,32,PHO,19,230,10.5,.564,.651,.256,3.2,14.6,8.8,17.4,1.7,0.7,14.3,10.3,,0.3,0.1,0.4,.092,,-0.3,-0.5,-0.7,0.1
135,Kris Dunn\dunnkr01,PG,23,CHI,40,1185,15.2,.483,.191,.139,1.9,15.2,8.4,35.2,3.4,1.3,17.2,25.4,,-0.7,1.6,0.8,.033,,-1.2,1.7,0.5,0.7
136,Kevin Durant\duranke01,PF,29,GSW,38,1320,25.4,.629,.336,.297,1.9,18.8,11.1,24.4,1.2,4.6,13.1,30.1,,3.9,1.9,5.8,.210,,4.3,1.2,5.6,2.5
137,Henry Ellenson\ellenhe01,PF,21,DET,17,119,9.4,.463,.404,.053,2.8,31.3,16.6,8.1,1.3,0.0,13.4,25.1,,-0.2,0.2,-0.1,-0.027,,-6.1,-2.0,-8.1,-0.2
138,Wayne Ellington\ellinwa01,SG,30,MIA,44,1104,13.8,.608,.848,.112,1.4,11.9,6.7,6.4,1.2,0.4,6.2,17.3,,1.8,0.9,2.7,.118,,2.6,-1.9,0.7,0.8
139,Joel Embiid\embiijo01,C,23,PHI,32,1006,23.3,.582,.181,.480,7.9,29.1,18.9,19.8,0.9,5.1,16.8,33.1,,1.4,1.8,3.3,.156,,0.5,2.7,3.2,1.3
140,James Ennis\ennisja01,SF,27,MEM,41,968,12.3,.625,.385,.345,5.6,11.5,8.5,7.0,1.4,1.0,13.2,12.5,,1.5,0.6,2.2,.108,,0.0,-0.3,-0.3,0.4
141,Tyler Ennis\ennisty01,PG,23,LAL,25,273,10.4,.437,.289,.156,2.7,11.4,7.0,24.4,1.7,1.5,11.1,16.6,,0.0,0.3,0.3,.053,,-3.2,-0.7,-3.9,-0.1
142,Jawun Evans\evansja01,PG,21,LAC,37,682,7.5,.419,.206,.193,1.3,10.9,6.1,18.9,2.2,0.7,14.2,18.8,,-0.8,0.6,-0.1,-0.010,,-4.4,-0.3,-4.8,-0.5
143,Tyreke Evans\evansty01,PG,28,MEM,42,1305,22.5,.571,.345,.244,3.2,16.2,9.7,30.7,1.8,1.0,10.4,28.4,,3.2,1.2,4.3,.160,,5.1,-0.5,4.6,2.2
144,Kenneth Faried\farieke01,PF,28,DEN,30,446,18.1,.566,.007,.348,15.9,20.5,18.2,6.2,1.3,2.3,12.4,18.0,,0.9,0.5,1.4,.149,,-0.8,-0.5,-1.4,0.1
145,Derrick Favors\favorde01,C,26,UTA,41,1156,18.9,.592,.055,.314,9.9,18.7,14.2,8.8,1.3,3.2,10.9,19.1,,2.4,1.3,3.7,.154,,0.2,1.4,1.7,1.1
146,Kay Felder\feldeka01,PG,22,CHI,14,134,3.8,.386,.273,.182,0.8,10.8,5.6,22.8,1.1,0.6,17.4,28.3,,-0.5,0.1,-0.5,-0.164,,-8.2,-3.2,-11.4,-0.3
147,Cristiano Felicio\feliccr01,C,25,CHI,25,339,10.8,.631,.000,.444,8.0,13.8,10.8,6.8,0.6,1.3,17.5,11.8,,0.4,0.2,0.6,.088,,-2.6,-0.2,-2.8,-0.1
148,Raymond Felton\feltora01,PG,33,OKC,45,771,13.5,.495,.372,.086,2.0,11.3,6.5,22.9,1.8,0.7,11.3,20.1,,0.6,0.8,1.5,.091,,-1.1,-1.7,-2.8,-0.2
149,Terrance Ferguson\fergute01,SG,19,OKC,30,354,5.2,.470,.654,.025,2.8,3.6,3.2,3.1,2.0,0.8,7.9,10.9,,0.0,0.3,0.3,.046,,-2.7,-1.0,-3.7,-0.2
150,Yogi Ferrell\ferreyo01,SG,24,DAL,45,1295,11.5,.571,.493,.173,1.6,12.5,6.9,12.4,1.3,0.3,11.2,16.1,,1.1,0.9,2.0,.075,,0.0,-0.3,-0.3,0.6
151,Dorian Finney-Smith\finnedo01,PF,24,DAL,8,94,5.4,.568,.636,.091,5.8,6.2,6.0,7.8,0.0,1.0,23.4,14.6,,0.0,0.0,0.0,-0.003,,-2.8,-2.0,-4.8,-0.1
152,Bryn Forbes\forbebr01,SG,24,SAS,46,957,8.6,.516,.468,.095,1.2,6.2,3.7,7.3,1.0,0.2,7.1,16.7,,0.2,0.9,1.2,.060,,-1.2,-1.6,-2.9,-0.2
153,Evan Fournier\fournev01,SF,25,ORL,37,1206,15.6,.579,.392,.218,1.7,9.3,5.5,14.4,1.4,0.8,11.3,23.3,,1.5,0.4,2.0,.079,,1.6,-1.9,-0.4,0.5
154,De'Aaron Fox\foxde01,PG,20,SAC,37,987,10.0,.464,.167,.251,1.8,9.8,5.7,24.7,1.9,0.9,18.1,22.6,,-1.2,0.3,-0.8,-0.040,,-3.6,-1.7,-5.3,-0.8
155,Tim Frazier\fraziti01,PG,27,WAS,34,519,10.5,.491,.343,.171,1.9,12.3,7.2,29.6,2.6,0.5,26.2,12.9,,0.1,0.6,0.7,.068,,-2.6,0.2,-2.3,0.0
156,Channing Frye\fryech01,C,34,CLE,36,412,13.1,.601,.508,.058,1.9,19.0,10.6,8.3,1.3,1.7,8.2,14.5,,0.6,0.3,0.9,.100,,-0.7,-1.0,-1.7,0.0
157,Markelle Fultz\fultzma01,SG,19,PHI,4,76,3.7,.372,.000,.444,4.4,8.2,6.4,13.0,1.3,1.1,15.7,21.3,,-0.2,0.1,-0.1,-0.085,,-8.6,-1.3,-9.9,-0.2
158,Danilo Gallinari\gallida01,SF,29,LAC,11,349,10.3,.475,.446,.259,0.6,14.4,7.6,11.9,1.1,0.5,9.4,21.3,,0.0,0.2,0.2,.027,,-2.1,-1.6,-3.7,-0.1
159,Langston Galloway\gallola01,SG,26,DET,35,521,13.7,.536,.680,.128,1.7,11.4,6.4,7.3,2.1,0.7,4.5,19.1,,0.6,0.6,1.2,.109,,0.8,-1.3,-0.5,0.2
160,Marc Gasol\gasolma01,C,33,MEM,42,1454,17.7,.528,.277,.346,4.4,24.5,14.4,20.2,1.1,4.0,14.4,26.9,,0.7,1.8,2.5,.083,,-0.6,1.8,1.2,1.2
161,Pau Gasol\gasolpa01,C,37,SAS,44,1099,19.0,.554,.229,.278,6.7,29.6,18.2,20.5,0.6,3.5,13.3,19.7,,1.8,2.1,3.9,.170,,0.3,3.3,3.6,1.6
162,Rudy Gay\gayru01,PF,31,SAS,34,771,17.6,.557,.223,.301,6.7,18.7,12.7,10.9,1.8,2.4,13.4,23.6,,0.7,1.4,2.1,.131,,-0.4,1.2,0.8,0.5
163,Paul George\georgpa01,SF,27,OKC,42,1531,17.7,.565,.446,.257,2.6,14.8,8.5,13.4,3.1,1.7,13.8,25.0,,1.9,2.5,4.4,.137,,1.6,0.7,2.3,1.7
164,Marcus Georges-Hunt\georgma01,SG,23,MIN,26,100,7.7,.551,.333,.381,3.5,3.5,3.5,4.1,2.0,0.0,7.5,11.8,,0.1,0.0,0.1,.058,,-1.2,-2.2,-3.3,0.0
165,Taj Gibson\gibsota01,PF,32,MIN,47,1578,15.8,.613,.070,.264,8.8,17.8,13.3,5.9,1.2,1.9,10.5,14.5,,3.3,1.2,4.5,.138,,1.1,0.5,1.7,1.5
166,Manu Ginobili\ginobma01,SG,40,SAS,37,759,13.6,.567,.429,.252,1.8,10.2,6.0,18.2,1.7,1.3,17.1,21.2,,0.5,1.1,1.5,.096,,-0.2,-0.2,-0.4,0.3
167,Rudy Gobert\goberru01,C,25,UTA,18,539,19.2,.638,.000,.646,9.8,27.4,18.4,6.2,0.9,6.8,17.7,16.8,,0.9,0.9,1.8,.161,,-2.0,3.6,1.6,0.5
168,Aaron Gordon\gordoaa01,PF,22,ORL,36,1212,17.6,.561,.400,.283,5.0,21.3,13.1,9.8,1.3,1.7,9.8,23.7,,1.5,0.9,2.4,.096,,1.0,-0.6,0.4,0.7
169,Eric Gordon\gordoer01,SG,29,HOU,41,1343,15.4,.571,.617,.263,1.3,6.8,4.0,13.1,1.0,1.0,11.6,26.1,,1.8,0.8,2.7,.096,,1.4,-3.2,-1.8,0.1
170,Marcin Gortat\gortama01,C,33,WAS,45,1222,15.2,.558,.000,.334,9.2,24.5,16.9,9.6,1.1,2.5,13.1,15.0,,1.6,1.6,3.2,.127,,-1.3,2.2,0.9,0.9
171,Treveon Graham\grahatr01,SG,24,CHO,30,509,10.1,.567,.407,.252,4.4,10.4,7.3,9.2,1.2,0.2,11.6,13.1,,0.6,0.4,1.0,.094,,-0.5,-0.1,-0.7,0.2
172,Jerami Grant\grantje01,PF,23,OKC,44,909,13.7,.566,.252,.408,5.8,15.2,10.4,5.2,1.2,4.2,10.8,15.1,,1.2,1.2,2.4,.127,,-1.9,0.9,-1.0,0.2
173,Jerian Grant\grantje02,PG,25,CHI,45,954,14.0,.508,.371,.344,1.9,9.8,5.7,31.8,1.6,0.4,13.1,17.9,,1.2,0.6,1.8,.089,,-0.5,-1.9,-2.4,-0.1
174,Danny Green\greenda02,SG,30,SAS,35,929,12.1,.535,.560,.079,1.8,12.6,7.2,9.8,2.1,3.4,13.3,16.1,,0.1,1.6,1.8,.091,,-0.7,2.5,1.8,0.9
175,Draymond Green\greendr01,PF,27,GSW,39,1260,17.1,.563,.445,.298,4.4,21.4,13.6,30.2,1.9,3.1,21.8,17.0,,2.1,2.0,4.1,.155,,1.3,2.8,4.1,1.9
176,Gerald Green\greenge01,SG,32,HOU,10,267,16.4,.610,.689,.168,2.1,11.5,6.8,5.4,1.3,1.0,7.3,22.3,,0.6,0.2,0.8,.138,,2.1,-3.0,-0.9,0.1
177,JaMychal Green\greenja01,PF,27,MEM,28,754,13.8,.550,.266,.249,10.5,20.0,15.2,7.9,1.2,1.0,14.6,18.7,,0.6,0.7,1.3,.081,,-1.0,-0.6,-1.6,0.1
178,Jeff Green\greenje02,PF,31,CLE,44,998,16.3,.590,.244,.397,4.7,12.4,8.6,9.2,1.3,1.4,9.5,20.1,,2.1,0.5,2.5,.121,,0.1,-1.7,-1.5,0.1
179,Blake Griffin\griffbl01,PF,28,LAC,28,956,20.4,.547,.316,.394,5.1,19.9,12.6,26.3,1.2,0.8,13.5,30.0,,1.7,0.9,2.5,.127,,2.9,0.0,2.9,1.2
180,Daniel Hamilton\hamilda02,SG,22,OKC,2,9,47.5,.700,.400,.000,0.0,12.9,6.3,93.1,5.6,0.0,0.0,24.2,,0.1,0.0,0.1,.668,,19.5,-2.4,17.1,0.0
181,Tim Hardaway\hardati02,SG,25,NYK,24,799,16.4,.544,.496,.249,2.6,11.2,7.0,14.9,1.8,0.6,9.2,24.0,,1.2,0.7,1.8,.109,,3.0,-1.4,1.6,0.7
182,James Harden\hardeja01,SG,28,HOU,36,1297,30.1,.621,.499,.491,1.6,14.0,7.7,45.0,2.4,1.4,14.5,35.8,,6.4,1.6,8.0,.295,,9.9,0.1,10.0,3.9
183,Maurice Harkless\harklma01,SF,24,POR,37,757,9.9,.529,.358,.197,3.7,11.0,7.4,4.7,1.7,3.2,13.4,12.6,,0.2,1.0,1.2,.074,,-2.4,2.1,-0.3,0.3
184,Montrezl Harrell\harremo01,C,24,LAC,38,563,21.9,.612,.005,.417,9.8,18.7,14.3,8.6,1.2,3.7,11.0,22.4,,1.4,0.6,2.0,.170,,0.2,0.3,0.5,0.4
185,Devin Harris\harride01,PG,34,DAL,39,724,13.7,.556,.441,.410,1.2,10.8,5.8,16.1,2.2,0.9,12.7,21.9,,0.6,0.7,1.3,.086,,-0.3,-0.8,-1.1,0.2
186,Gary Harris\harriga01,SG,23,DEN,41,1429,17.3,.604,.436,.166,1.9,6.9,4.4,14.8,2.8,0.8,11.8,20.1,,2.7,1.3,4.0,.136,,2.8,-0.6,2.1,1.5
187,Joe Harris\harrijo01,SG,26,BRK,43,1070,12.4,.608,.624,.144,2.3,11.2,6.7,8.7,1.0,0.6,10.4,16.1,,1.4,0.7,2.2,.097,,0.9,-0.8,0.1,0.6
188,Tobias Harris\harrito02,PF,25,DET,43,1397,17.7,.575,.394,.198,2.7,15.8,9.0,9.9,1.1,0.9,6.2,22.9,,2.8,1.4,4.3,.146,,2.1,-0.9,1.2,1.1
189,Andrew Harrison\harrian01,PG,23,MEM,36,760,11.1,.501,.345,.413,2.4,10.0,6.2,17.8,1.8,1.8,13.7,18.4,,0.2,0.6,0.8,.050,,-2.0,-0.6,-2.6,-0.1
190,Josh Hart\hartjo01,SG,22,LAL,39,737,10.7,.558,.519,.215,2.4,14.9,8.6,7.1,1.9,0.9,8.7,12.4,,0.7,0.8,1.4,.094,,-1.5,0.3,-1.2,0.2
191,Udonis Haslem\hasleud01,C,37,MIA,8,45,4.9,.500,.600,.000,5.1,7.6,6.4,9.1,0.0,1.9,28.6,7.1,,0.0,0.0,0.0,.022,,-4.1,-0.3,-4.4,0.0
192,Gordon Hayward\haywago01,SF,27,BOS,1,5,7.5,.500,.500,.000,0.0,21.4,10.9,0.0,0.0,0.0,0.0,17.9,,0.0,0.0,0.0,.065,,-5.8,-5.8,-11.6,0.0
193,John Henson\hensojo01,C,27,MIL,43,1068,15.6,.594,.015,.332,9.1,23.9,16.5,7.6,0.9,5.3,15.9,15.6,,1.3,1.1,2.4,.108,,-1.9,1.7,-0.3,0.5
194,Juan Hernangomez\hernaju01,PF,22,DEN,18,213,9.5,.519,.686,.216,7.3,14.9,11.0,5.1,0.9,1.2,11.1,12.8,,0.2,0.2,0.3,.074,,-1.4,-1.6,-3.0,-0.1
195,Willy Hernangomez\hernawi01,C,23,NYK,19,177,16.5,.567,.060,.299,13.0,22.3,17.8,13.0,1.7,3.0,21.7,24.1,,0.0,0.2,0.2,.062,,-1.6,1.1,-0.5,0.1
196,Mario Hezonja\hezonma01,SF,22,ORL,38,665,11.4,.544,.443,.111,3.1,16.1,9.5,8.4,1.8,0.8,13.4,18.6,,0.0,0.5,0.5,.035,,-1.8,-0.9,-2.7,-0.1
197,Buddy Hield\hieldbu01,SG,24,SAC,42,1006,14.9,.549,.429,.097,2.5,14.8,8.4,11.7,1.9,0.8,11.3,23.7,,0.5,0.4,1.0,.046,,0.5,-2.2,-1.7,0.1
198,Nene Hilario\hilarne01,C,35,HOU,28,423,17.9,.630,.014,.426,6.9,19.1,13.0,9.6,1.8,1.8,13.0,19.7,,1.0,0.5,1.5,.170,,-1.0,0.3,-0.7,0.1
199,George Hill\hillge01,PG,31,SAC,37,1008,14.0,.588,.390,.288,2.2,10.7,6.3,15.2,1.8,1.1,14.1,17.1,,1.3,0.3,1.6,.076,,0.6,-1.1,-0.6,0.4
200,Darrun Hilliard\hillida01,SG,24,SAS,6,50,-3.6,.152,.333,.222,0.0,8.9,4.4,10.3,2.0,0.0,23.3,11.6,,-0.2,0.1,-0.1,-0.132,,-9.9,0.7,-9.2,-0.1
201,Jrue Holiday\holidjr01,SG,27,NOP,44,1624,16.6,.582,.338,.188,1.9,11.0,6.6,21.1,1.9,1.4,14.4,22.1,,2.1,1.2,3.3,.098,,1.4,-0.4,1.0,1.2
202,Justin Holiday\holidju01,SG,28,CHI,44,1505,12.1,.529,.554,.220,1.9,13.0,7.3,9.9,1.5,1.6,9.1,18.2,,0.7,1.2,1.9,.061,,-0.2,0.1,-0.2,0.7
203,John Holland\hollajo02,SF,29,CLE,4,17,-1.2,.375,.500,.000,0.0,13.0,6.6,0.0,0.0,0.0,20.0,13.1,,0.0,0.0,0.0,-0.140,,-9.5,-5.1,-14.6,-0.1
204,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,42,1197,17.4,.554,.077,.433,5.6,19.1,12.3,12.9,1.5,1.8,11.6,22.4,,1.6,1.4,3.0,.120,,-1.1,1.3,0.1,0.6
205,Richaun Holmes\holmeri01,C,24,PHI,22,361,15.3,.562,.154,.195,8.0,22.8,15.7,10.7,1.2,2.3,9.5,17.3,,0.6,0.5,1.1,.145,,-1.3,0.8,-0.4,0.1
206,Rodney Hood\hoodro01,SG,25,UTA,35,988,14.7,.536,.486,.172,1.4,10.6,5.9,10.8,1.4,0.5,9.6,27.9,,0.2,0.7,0.9,.046,,0.3,-3.0,-2.7,-0.2
207,Al Horford\horfoal01,C,31,BOS,42,1373,18.9,.602,.320,.158,4.9,20.7,12.9,26.1,0.9,2.7,15.2,18.0,,2.9,2.6,5.5,.192,,1.9,3.2,5.1,2.5
208,Danuel House\houseda01,SG,24,PHO,11,142,9.6,.495,.442,.395,3.7,13.8,8.7,6.1,1.4,0.0,9.0,16.5,,0.1,0.0,0.1,.037,,-2.3,-2.5,-4.8,-0.1
209,Dwight Howard\howardw01,C,32,CHO,43,1303,18.4,.554,.004,.724,12.1,32.0,21.9,7.6,1.1,4.0,18.1,24.4,,0.5,2.3,2.7,.101,,-2.9,2.3,-0.5,0.5
210,Josh Huestis\huestjo01,PF,26,OKC,39,574,6.4,.455,.663,.106,4.2,14.0,8.9,3.0,1.1,4.6,14.2,9.6,,-0.2,0.8,0.5,.045,,-4.2,1.5,-2.7,-0.1
211,R.J. Hunter\hunterj01,SG,24,HOU,2,2,38.7,,,,0.0,57.0,28.3,100.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.573,,-2.3,-3.8,-6.0,0.0
212,Vince Hunter\huntevi01,PF,23,MEM,4,7,36.9,.600,.000,.000,33.2,16.7,25.0,0.0,0.0,13.1,16.7,39.2,,0.0,0.0,0.0,.115,,-3.1,-6.0,-9.0,0.0
213,Serge Ibaka\ibakase01,PF,28,TOR,38,1062,15.3,.570,.363,.150,4.1,20.1,12.2,3.8,0.7,4.4,9.0,20.0,,1.2,1.5,2.7,.120,,-0.8,0.5,-0.3,0.5
214,Andre Iguodala\iguodan01,SF,34,GSW,39,1009,10.4,.494,.357,.281,4.0,11.7,8.2,16.1,1.6,1.8,15.5,11.4,,0.8,1.0,1.8,.086,,-0.9,1.0,0.1,0.5
215,Ersan Ilyasova\ilyaser01,PF,30,ATL,33,859,16.0,.570,.416,.208,8.4,17.2,12.8,7.5,1.8,1.1,9.1,18.6,,1.4,0.7,2.1,.116,,1.2,-0.7,0.5,0.5
216,Joe Ingles\inglejo01,SF,30,UTA,44,1345,12.3,.590,.684,.070,1.1,15.4,8.1,21.1,1.7,0.5,18.1,14.6,,1.3,1.2,2.5,.089,,0.8,0.3,1.1,1.1
217,Brandon Ingram\ingrabr01,SF,20,LAL,41,1393,12.6,.525,.127,.392,3.1,13.6,8.3,15.1,1.1,1.7,14.7,21.9,,0.2,1.2,1.4,.049,,-2.4,0.1,-2.3,-0.1
218,Kyrie Irving\irvinky01,PG,25,BOS,43,1407,23.6,.586,.359,.238,2.1,9.8,6.0,29.6,1.9,0.8,10.6,31.5,,3.8,2.2,6.0,.205,,5.8,-0.3,5.5,2.7
219,Jonathan Isaac\isaacjo01,PF,20,ORL,15,284,9.6,.482,.243,.243,4.6,17.1,10.8,5.4,1.7,4.1,15.5,14.8,,-0.2,0.3,0.1,.017,,-4.6,1.7,-3.0,-0.1
220,Wesley Iwundu\iwundwe01,SF,23,ORL,27,365,9.7,.503,.195,.195,3.6,12.4,7.9,11.2,1.3,0.4,8.7,12.3,,0.2,0.1,0.4,.049,,-2.6,-0.7,-3.3,-0.1
221,Jarrett Jack\jackja01,PG,34,NYK,43,1153,11.9,.494,.168,.161,1.5,12.8,7.3,32.5,1.3,0.2,20.3,16.5,,0.5,0.8,1.3,.054,,-1.4,-1.0,-2.4,-0.1
222,Demetrius Jackson\jacksde01,PG,23,HOU,12,63,-0.6,.286,.429,.000,7.1,12.7,9.9,10.5,3.1,1.4,41.7,16.5,,-0.3,0.1,-0.2,-0.166,,-9.8,2.0,-7.8,-0.1
223,Josh Jackson\jacksjo02,SF,20,PHO,43,951,8.7,.452,.266,.318,5.1,12.9,8.9,9.1,2.0,1.2,13.9,23.7,,-1.4,0.6,-0.9,-0.044,,-4.1,-1.3,-5.3,-0.8
224,Justin Jackson\jacksju01,SF,22,SAC,30,510,7.1,.467,.471,.084,2.0,10.1,5.9,6.1,1.2,0.9,9.6,15.7,,-0.3,0.1,-0.2,-0.023,,-3.3,-2.4,-5.7,-0.5
225,Reggie Jackson\jacksre01,PG,27,DET,33,894,16.7,.540,.305,.232,2.7,9.3,5.9,33.4,1.2,0.3,15.5,26.3,,1.1,0.7,1.8,.099,,1.5,-1.9,-0.4,0.4
226,LeBron James\jamesle01,PF,33,CLE,44,1621,29.2,.634,.261,.322,3.7,20.2,12.1,43.9,2.3,2.6,17.0,30.9,,6.0,1.7,7.7,.229,,7.7,2.2,9.9,4.9
227,Mike James\jamesmi02,PG,27,PHO,32,669,14.4,.476,.311,.269,1.9,12.5,7.1,29.0,1.9,0.8,12.3,25.1,,0.1,0.3,0.4,.031,,-0.4,-1.7,-2.1,0.0
228,Al Jefferson\jeffeal01,C,33,IND,18,250,19.3,.568,.010,.172,7.4,29.0,18.4,9.4,1.8,3.8,11.6,21.5,,0.3,0.4,0.7,.139,,-2.2,1.2,-1.0,0.1
229,Richard Jefferson\jefferi01,SF,37,DEN,14,118,4.1,.436,.286,.333,1.9,10.5,6.2,9.0,0.4,0.0,14.2,10.3,,0.0,0.0,0.0,-0.001,,-5.1,-2.0,-7.1,-0.2
230,Jonas Jerebko\jerebjo01,PF,30,UTA,36,615,14.0,.602,.455,.157,6.2,17.8,11.9,6.4,1.4,0.7,7.8,15.3,,1.1,0.6,1.7,.134,,0.5,-0.7,-0.3,0.3
231,Amir Johnson\johnsam01,C,30,PHI,38,588,15.3,.562,.104,.313,13.1,19.8,16.6,12.8,2.1,3.7,16.8,14.1,,0.8,1.0,1.9,.153,,-0.6,3.4,2.8,0.7
232,Brice Johnson\johnsbr02,PF,23,LAC,9,38,21.7,.673,.091,.182,5.8,31.7,18.9,4.2,7.7,4.4,25.2,18.1,,0.0,0.1,0.1,.178,,-2.7,6.6,4.0,0.1
233,Dakari Johnson\johnsda04,C,22,OKC,20,125,16.5,.559,.000,.400,9.6,13.0,11.3,9.7,2.0,4.5,8.9,15.7,,0.2,0.2,0.4,.170,,-1.4,1.6,0.2,0.1
234,James Johnson\johnsja01,PF,30,MIA,36,959,14.9,.556,.321,.284,3.5,18.2,10.9,23.9,1.8,2.2,18.6,19.4,,0.7,1.3,2.0,.102,,-0.5,1.9,1.4,0.8
