Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
28,Lonzo Ball\balllo01,PG,20,LAL,36,1222,12.1,.436,.489,.125,4.1,18.4,11.2,29.2,2.1,2.1,18.9,17.8,,-0.6,1.6,1.0,.038,,-1.6,2.3,0.7,0.8
29,J.J. Barea\bareajo01,PG,33,DAL,44,1011,18.5,.546,.454,.189,1.0,14.8,7.6,43.7,1.2,0.2,15.5,25.4,,1.6,0.7,2.3,.109,,2.8,-1.8,1.0,0.8
30,Harrison Barnes\barneha02,PF,25,DAL,45,1571,16.4,.546,.250,.260,3.5,18.6,10.8,10.3,1.0,0.5,8.4,24.5,,1.5,1.2,2.7,.083,,-0.4,-0.9,-1.3,0.3
31,Will Barton\bartowi01,SG,27,DEN,44,1372,16.3,.543,.403,.213,3.1,14.3,8.6,20.2,1.6,1.8,11.8,21.2,,2.0,1.3,3.3,.115,,1.2,-0.1,1.1,1.1
32,Nicolas Batum\batumni01,SG,29,CHO,29,901,11.4,.487,.403,.167,2.2,12.5,7.3,22.5,1.5,0.9,16.3,17.7,,-0.1,0.9,0.9,.046,,-1.0,0.7,-0.3,0.4
33,Jerryd Bayless\bayleje01,SG,29,PHI,35,870,8.0,.550,.561,.179,1.8,7.5,4.8,8.1,1.3,0.6,13.7,14.9,,0.3,0.7,1.0,.056,,-1.5,-0.9,-2.4,-0.1
34,Aron Baynes\baynear01,C,31,BOS,46,844,12.1,.511,.029,.238,9.6,21.6,15.7,7.5,0.8,2.8,14.0,16.3,,0.4,1.6,2.0,.112,,-3.9,2.2,-1.8,0.0
35,Kent Bazemore\bazemke01,SG,28,ATL,44,1252,15.0,.541,.396,.293,1.7,15.6,8.6,20.2,3.2,2.1,17.3,21.9,,0.3,1.5,1.8,.069,,-0.5,1.5,1.0,1.0
36,Bradley Beal\bealbr01,SG,24,WAS,45,1613,19.6,.562,.344,.266,2.4,10.9,6.7,18.0,1.5,1.1,9.5,28.6,,2.9,1.4,4.3,.129,,3.0,-1.3,1.7,1.5
37,Malik Beasley\beaslma01,SG,21,DEN,40,430,8.2,.475,.444,.173,3.3,12.4,7.8,8.3,1.3,0.6,11.2,16.3,,-0.1,0.3,0.2,.025,,-3.3,-1.9,-5.2,-0.3
38,Michael Beasley\beaslmi01,PF,29,NYK,38,733,19.7,.570,.098,.233,7.7,21.7,14.9,12.5,1.0,2.8,15.6,29.6,,0.4,0.8,1.3,.085,,-0.7,-0.5,-1.2,0.1
39,Marco Belinelli\belinma01,SG,31,ATL,43,1002,15.2,.566,.506,.218,1.4,8.1,4.7,13.9,2.0,0.3,9.4,21.4,,1.4,0.4,1.9,.090,,1.3,-2.5,-1.2,0.2
40,Jordan Bell\belljo01,C,23,GSW,38,546,19.5,.673,.023,.229,10.3,19.2,15.2,16.7,2.3,5.7,20.9,14.6,,1.2,1.0,2.3,.199,,1.2,4.1,5.3,1.0
41,DeAndre' Bembry\bembrde01,SF,23,ATL,18,311,4.7,.447,.227,.239,2.5,12.6,7.5,12.0,2.1,2.3,27.0,18.8,,-0.8,0.2,-0.6,-0.091,,-7.2,0.6,-6.6,-0.4
42,Dragan Bender\bendedr01,PF,20,PHO,45,998,6.9,.515,.700,.086,1.7,14.7,8.1,7.4,0.5,2.2,16.3,12.8,,-0.3,0.3,0.1,.003,,-2.4,-0.5,-2.9,-0.2
43,Davis Bertans\bertada01,PF,25,SAS,42,541,14.4,.619,.703,.126,1.9,13.9,7.9,8.3,0.7,2.3,9.4,17.7,,0.9,0.7,1.6,.146,,1.5,-0.8,0.7,0.4
44,Patrick Beverley\beverpa01,SG,29,LAC,11,334,12.7,.530,.504,.143,5.3,9.5,7.4,14.3,2.8,1.3,16.5,19.7,,0.1,0.3,0.5,.065,,0.5,0.6,1.1,0.3
45,Khem Birch\birchkh01,C,25,ORL,9,56,22.8,.640,.000,.235,19.4,17.7,18.6,11.1,0.0,6.9,13.8,16.9,,0.2,0.0,0.2,.205,,1.4,1.6,3.0,0.1
46,Jabari Bird\birdja01,SG,23,BOS,4,22,6.1,.403,.500,1.250,0.0,9.7,5.0,6.2,2.3,0.0,0.0,12.6,,0.0,0.0,0.0,.065,,-4.5,0.1,-4.4,0.0
47,Bismack Biyombo\biyombi01,C,25,ORL,45,825,14.0,.568,.006,.511,11.2,24.8,18.0,4.3,0.5,5.5,17.6,13.8,,0.8,0.9,1.6,.094,,-3.6,1.7,-1.9,0.0
48,Nemanja Bjelica\bjeline01,PF,29,MIN,32,433,13.9,.649,.488,.142,4.0,17.4,10.6,6.7,1.5,0.8,13.5,16.0,,0.7,0.3,1.1,.118,,0.9,-1.5,-0.6,0.2
49,Tarik Black\blackta01,C,26,HOU,33,331,14.2,.575,.091,.466,14.3,20.7,17.4,3.6,1.9,4.6,20.3,17.4,,0.2,0.5,0.8,.111,,-3.3,1.1,-2.2,0.0
50,Antonio Blakeney\blakean01,SG,21,CHI,11,163,8.1,.457,.364,.247,1.9,11.6,6.6,6.8,0.6,0.0,8.6,25.1,,-0.2,0.1,-0.2,-0.053,,-5.0,-4.4,-9.4,-0.3
51,Eric Bledsoe\bledser01,PG,28,TOT,37,1154,18.3,.555,.354,.343,2.8,11.8,7.2,21.6,3.3,1.7,15.7,27.3,,0.7,1.2,1.9,.080,,1.2,-0.4,0.8,0.8
51,Eric Bledsoe\bledser01,PG,28,PHO,3,83,13.3,.509,.325,.350,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.6,,-0.1,0.0,0.0,-0.017,,-2.1,-2.5,-4.5,-0.1
51,Eric Bledsoe\bledser01,PG,28,MIL,34,1071,18.7,.559,.357,.342,2.7,12.3,7.5,21.8,3.4,1.6,15.5,27.2,,0.8,1.2,2.0,.088,,1.5,-0.2,1.2,0.9
52,Vander Blue\blueva01,SG,25,LAL,5,45,-1.8,.255,.400,.400,0.0,2.4,1.2,8.3,1.1,0.0,33.8,8.3,,-0.1,0.0,-0.1,-0.103,,-8.9,-1.4,-10.4,-0.1
